Tree	Order	Start X	Start Y	Start Z	End X	End Y	End Z	Point Type	Length(µm)	Length To Beginning 	Start Diameter(µm)	End Diameter(µm)	Avg Diameter(µm)	Surface Area(µm²)	Volume(µm³)	Spines	None Spine	Thin Spine	Stubby Spine	Mushroom Spine	Filopodia Spine	Branched Spine	Detached Spine	Other Spine
1	1	0.56	-1.69	-6.86	0.34	-2.98	-7.57	CP	1.5	1.5	3.3	3.3	3.3	15.4818	12.8112	0	0	0	0	0	0	0	0	0
1	1	0.34	-2.98	-7.57	0.54	-4.22	-7.57	CP	1.3	2.7	3.3	3.3	3.3	13.0610	10.8080	0	0	0	0	0	0	0	0	0
1	1	0.54	-4.22	-7.57	0.51	-5.26	-7.57	CP	1.0	3.8	3.3	3.3	3.3	10.8191	8.95282	0	0	0	0	0	0	0	0	0
1	1	0.51	-5.26	-7.57	0.54	-5.47	-7.57	CP	0.2	4.0	3.3	3.3	3.3	2.20589	1.82537	0	0	0	0	0	0	0	0	0
1	1	0.54	-5.47	-7.57	0.63	-7.34	-10.43	CP	3.4	7.4	3.3	1.0	2.2	24.5650	13.8050	0	0	0	0	0	0	0	0	0
1	1	0.63	-7.34	-10.43	0.08	-7.85	-11.85	CP	1.6	9.0	1.0	0.8	0.9	4.70109	1.09510	0	0	0	0	0	0	0	0	0
1	1	0.08	-7.85	-11.85	-0.16	-8.94	-12.57	CP	1.3	10.3	0.8	0.8	0.8	3.46329	0.718634	0	0	0	0	0	0	0	0	0
1	1	-0.16	-8.94	-12.57	-0.44	-9.82	-13.28	CP	1.2	11.5	0.8	0.8	0.8	3.03740	0.630260	0	0	0	0	0	0	0	0	0
1	1	-0.44	-9.82	-13.28	-0.58	-10.26	-13.28	CP	0.5	12.0	0.8	0.8	0.8	1.20399	0.249827	0	0	0	0	0	0	0	0	0
1	1	-0.58	-10.26	-13.28	-0.58	-11.52	-16.14	CP	3.1	15.1	0.8	0.8	0.8	8.14916	1.69095	0	0	0	0	0	0	0	0	0
1	1	-0.58	-11.52	-16.14	-0.41	-12.54	-16.14	CP	1.0	16.1	0.8	0.8	0.8	2.69636	0.559494	0	0	0	0	0	0	0	0	0
1	1	-0.41	-12.54	-16.14	-1.20	-12.88	-16.14	BP	0.9	17.0	0.8	0.8	0.8	2.24262	0.465344	0	0	0	0	0	0	0	0	0
1	2	-1.20	-12.88	-16.14	-0.32	-14.41	-16.85	CP	1.9	18.9	0.8	0.6	0.7	4.33977	0.790879	0	0	0	0	0	0	0	0	0
1	2	-0.32	-14.41	-16.85	0.25	-15.38	-17.56	CP	1.3	20.2	0.6	0.6	0.6	2.59129	0.401650	0	0	0	0	0	0	0	0	0
1	2	0.25	-15.38	-17.56	0.38	-16.19	-17.56	CP	0.8	21.0	0.6	0.6	0.6	1.59790	0.247674	0	0	0	0	0	0	0	0	0
1	2	0.38	-16.19	-17.56	0.55	-17.21	-17.56	CP	1.0	22.1	0.6	0.6	0.6	2.01415	0.312192	0	0	0	0	0	0	0	0	0
1	2	0.55	-17.21	-17.56	0.64	-17.82	-17.56	CP	0.6	22.7	0.6	0.6	0.6	1.20101	0.186157	0	0	0	0	0	0	0	0	0
1	2	0.64	-17.82	-17.56	0.51	-18.27	-17.56	CP	0.5	23.2	0.6	0.6	0.6	0.912348	0.141414	0	0	0	0	0	0	0	0	0
1	2	0.51	-18.27	-17.56	0.20	-18.95	-17.56	CP	0.7	23.9	0.6	0.6	0.6	1.45564	0.225624	0	0	0	0	0	0	0	0	0
1	2	0.20	-18.95	-17.56	0.03	-19.18	-17.56	CP	0.3	24.2	0.6	0.6	0.6	0.557080	0.0863474	0	0	0	0	0	0	0	0	0
1	2	0.03	-19.18	-17.56	-0.38	-20.51	-18.99	CP	2.0	26.2	0.6	0.6	0.6	3.88675	0.602446	0	0	0	0	0	0	0	0	0
1	2	-0.38	-20.51	-18.99	-0.49	-21.16	-18.99	CP	0.7	26.9	0.6	0.6	0.6	1.28406	0.199030	0	0	0	0	0	0	0	0	0
1	2	-0.49	-21.16	-18.99	-0.42	-21.56	-18.99	CP	0.4	27.3	0.6	0.6	0.6	0.790955	0.122598	0	0	0	0	0	0	0	0	0
1	2	-0.42	-21.56	-18.99	-0.60	-21.80	-18.99	CP	0.3	27.6	0.6	0.6	0.6	0.584336	0.0905721	0	0	0	0	0	0	0	0	0
1	2	-0.60	-21.80	-18.99	-2.50	-21.69	-21.84	CP	3.4	31.0	0.6	0.6	0.6	6.67515	1.03465	0	0	0	0	0	0	0	0	0
