Tree	Order	Start X	Start Y	Start Z	End X	End Y	End Z	Point Type	Length(µm)	Length To Beginning 	Start Diameter(µm)	End Diameter(µm)	Avg Diameter(µm)	Surface Area(µm²)	Volume(µm³)	Spines	None Spine	Thin Spine	Stubby Spine	Mushroom Spine	Filopodia Spine	Branched Spine	Detached Spine	Other Spine
1	1	0.82	-8.46	0.87	1.00	-10.32	0.87	CP	1.9	1.9	1.0	1.0	1.0	6.04678	1.55705	0	0	0	0	0	0	0	0	0
1	1	1.00	-10.32	0.87	1.09	-11.34	0.87	CP	1.0	2.9	1.0	1.0	1.0	3.31338	0.853196	0	0	0	0	0	0	0	0	0
1	1	1.09	-11.34	0.87	1.06	-13.22	0.87	CP	1.9	4.8	1.0	1.0	1.0	6.08415	1.56667	0	0	0	0	0	0	0	0	0
1	1	1.06	-13.22	0.87	1.08	-13.42	0.87	CP	0.2	5.0	1.0	1.0	1.0	0.650395	0.167477	0	0	0	0	0	0	0	0	0
1	1	1.08	-13.42	0.87	1.15	-14.25	0.87	CP	0.8	5.8	1.0	1.0	1.0	2.69528	0.694035	0	0	0	0	0	0	0	0	0
1	1	1.15	-14.25	0.87	1.17	-14.46	0.32	CP	0.6	6.4	1.0	0.8	0.9	1.74569	0.401690	0	0	0	0	0	0	0	0	0
1	1	1.17	-14.46	0.32	1.21	-14.87	0.32	CP	0.4	6.8	0.8	0.8	0.8	1.07416	0.222888	0	0	0	0	0	0	0	0	0
1	1	1.21	-14.87	0.32	1.25	-15.28	-0.24	CP	0.7	7.5	0.8	0.8	0.8	1.81274	0.376144	0	0	0	0	0	0	0	0	0
1	1	1.25	-15.28	-0.24	1.29	-15.69	-0.78	CP	0.7	8.2	0.8	0.8	0.8	1.77100	0.367483	0	0	0	0	0	0	0	0	0
1	1	1.29	-15.69	-0.78	1.31	-15.90	-1.34	CP	0.6	8.8	0.8	0.8	0.8	1.56038	0.323779	0	0	0	0	0	0	0	0	0
1	1	1.31	-15.90	-1.34	1.37	-16.52	-1.34	CP	0.6	9.4	0.8	0.8	0.8	1.62422	0.337025	0	0	0	0	0	0	0	0	0
1	1	1.37	-16.52	-1.34	1.41	-16.93	-1.34	CP	0.4	9.8	0.8	0.8	0.8	1.07416	0.222888	0	0	0	0	0	0	0	0	0
1	1	1.41	-16.93	-1.34	1.44	-17.35	-1.89	CP	0.7	10.5	0.8	0.8	0.8	1.80617	0.374780	0	0	0	0	0	0	0	0	0
1	1	1.44	-17.35	-1.89	1.54	-18.37	-1.89	CP	1.0	11.5	0.8	0.8	0.8	2.67242	0.554528	0	0	0	0	0	0	0	0	0
1	1	1.54	-18.37	-1.89	1.58	-18.79	-2.43	CP	0.7	12.2	0.8	0.8	0.8	1.78687	0.370775	0	0	0	0	0	0	0	0	0
1	1	1.58	-18.79	-2.43	1.64	-19.41	-2.43	CP	0.6	12.8	0.8	0.8	0.8	1.62421	0.337024	0	0	0	0	0	0	0	0	0
1	1	1.64	-19.41	-2.43	1.70	-20.02	-2.43	CP	0.6	13.5	0.8	0.8	0.8	1.59827	0.331640	0	0	0	0	0	0	0	0	0
1	1	1.70	-20.02	-2.43	1.53	-20.45	-2.99	CP	0.7	14.2	0.8	0.8	0.8	1.89364	0.392931	0	0	0	0	0	0	0	0	0
1	1	1.53	-20.45	-2.99	1.44	-21.70	-2.99	CP	1.3	15.4	0.8	0.8	0.8	3.26784	0.678077	0	0	0	0	0	0	0	0	0
1	1	1.44	-21.70	-2.99	1.48	-22.12	-3.53	CP	0.7	16.1	0.8	0.8	0.8	1.78687	0.370775	0	0	0	0	0	0	0	0	0
1	1	1.48	-22.12	-3.53	1.31	-22.55	-3.53	CP	0.5	16.6	0.8	0.8	0.8	1.20568	0.250178	0	0	0	0	0	0	0	0	0
1	1	1.31	-22.55	-3.53	1.35	-22.97	-3.53	CP	0.4	17.0	0.8	0.8	0.8	1.10011	0.228274	0	0	0	0	0	0	0	0	0
1	1	1.35	-22.97	-3.53	1.18	-23.40	-3.53	CP	0.5	17.5	0.8	0.8	0.8	1.20568	0.250179	0	0	0	0	0	0	0	0	0
1	1	1.18	-23.40	-3.53	1.20	-23.61	-4.09	CP	0.6	18.1	0.8	0.8	0.8	1.56038	0.323779	0	0	0	0	0	0	0	0	0
1	1	1.20	-23.61	-4.09	1.20	-23.61	-5.19	CP	1.1	19.2	0.8	0.8	0.8	2.86827	0.595167	0	0	0	0	0	0	0	0	0
1	1	1.20	-23.61	-5.19	1.02	-23.82	-5.19	CP	0.3	19.4	0.8	0.8	0.8	0.721203	0.149650	0	0	0	0	0	0	0	0	0
1	1	1.02	-23.82	-5.19	1.06	-24.24	-5.19	CP	0.4	19.9	0.8	0.8	0.8	1.10011	0.228274	0	0	0	0	0	0	0	0	0
1	1	1.06	-24.24	-5.19	1.09	-24.65	-5.19	CP	0.4	20.3	0.8	0.8	0.8	1.07194	0.222428	0	0	0	0	0	0	0	0	0
1	1	1.09	-24.65	-5.19	1.13	-25.07	-5.19	CP	0.4	20.7	0.8	0.8	0.8	1.10011	0.228274	0	0	0	0	0	0	0	0	0
1	1	1.13	-25.07	-5.19	1.00	-25.90	-5.19	CP	0.8	21.5	0.8	0.8	0.8	2.19063	0.454555	0	0	0	0	0	0	0	0	0
1	1	1.00	-25.90	-5.19	1.06	-26.53	-5.74	CP	0.8	22.4	0.8	0.8	0.8	2.18628	0.453653	0	0	0	0	0	0	0	0	0
1	1	1.06	-26.53	-5.74	0.75	-27.59	-6.29	CP	1.2	23.6	0.8	0.8	0.8	3.21709	0.667547	0	0	0	0	0	0	0	0	0
1	1	0.75	-27.59	-6.29	0.77	-27.80	-6.29	CP	0.2	23.8	0.8	0.8	0.8	0.550055	0.114136	0	0	0	0	0	0	0	0	0
1	1	0.77	-27.80	-6.29	0.81	-28.21	-6.29	CP	0.4	24.2	0.8	0.8	0.8	1.07416	0.222888	0	0	0	0	0	0	0	0	0
1	1	0.81	-28.21	-6.29	1.10	-31.31	-6.29	CP	3.1	27.3	0.8	0.8	0.8	8.11861	1.68461	0	0	0	0	0	0	0	0	0
1	1	1.10	-31.31	-6.29	1.19	-32.33	-6.29	CP	1.0	28.4	0.8	0.8	0.8	2.67001	0.554027	0	0	0	0	0	0	0	0	0
1	1	1.19	-32.33	-6.29	1.19	-32.33	-6.29	CP	0.0	28.4	0.8	0.8	0.8	0.00000	0.00000	0	0	0	0	0	0	0	0	0
1	1	1.19	-32.33	-6.29	1.16	-34.21	-6.29	CP	1.9	30.2	0.8	0.8	0.8	4.90276	1.01732	0	0	0	0	0	0	0	0	0
1	1	1.16	-34.21	-6.29	1.08	-35.67	-6.29	CP	1.5	31.7	0.8	0.8	0.8	3.81269	0.791133	0	0	0	0	0	0	0	0	0
1	1	1.08	-35.67	-6.29	1.08	-35.67	-6.29	CP	0.0	31.7	0.8	0.8	0.8	0.00000	0.00000	0	0	0	0	0	0	0	0	0
1	1	1.08	-35.67	-6.29	1.16	-36.50	-6.29	CP	0.8	32.5	0.8	0.8	0.8	2.17428	0.451163	0	0	0	0	0	0	0	0	0
1	1	1.16	-36.50	-6.29	1.20	-36.91	-6.29	CP	0.4	33.0	0.8	0.8	0.8	1.07416	0.222888	0	0	0	0	0	0	0	0	0
1	1	1.20	-36.91	-6.29	0.79	-39.23	-7.39	CP	2.6	35.6	0.8	0.8	0.8	6.77981	1.40681	0	0	0	0	0	0	0	0	0
1	1	0.79	-39.23	-7.39	0.87	-40.06	-7.39	CP	0.8	36.4	0.8	0.8	0.8	2.17428	0.451163	0	0	0	0	0	0	0	0	0
1	1	0.87	-40.06	-7.39	1.16	-40.86	-7.39	CP	0.9	37.2	0.8	0.8	0.8	2.21884	0.460410	0	0	0	0	0	0	0	0	0
1	1	1.16	-40.86	-7.39	1.18	-41.07	-7.39	CP	0.2	37.5	0.8	0.8	0.8	0.550055	0.114136	0	0	0	0	0	0	0	0	0
1	1	1.18	-41.07	-7.39	0.66	-46.73	-8.49	CP	5.8	43.2	0.8	0.8	0.8	15.0957	3.13236	0	0	0	0	0	0	0	0	0
1	1	0.66	-46.73	-8.49	0.60	-48.19	-8.49	CP	1.5	44.7	0.8	0.8	0.8	3.81019	0.790615	0	0	0	0	0	0	0	0	0
1	1	0.60	-48.19	-8.49	0.47	-49.03	-8.49	EP	0.9	45.6	0.8	0.8	0.8	2.21639	0.459902	0	0	0	0	0	0	0	0	0
2	1	6.13	-11.27	10.16	6.75	-11.89	10.71	CP	1.0	1.0	1.7	1.5	1.6	5.08229	1.96864	0	0	0	0	0	0	0	0	0
2	1	6.75	-11.89	10.71	7.78	-12.72	11.26	CP	1.4	2.5	1.5	1.2	1.3	6.06954	2.03956	0	0	0	0	0	0	0	0	0
2	1	7.78	-12.72	11.26	7.78	-12.72	11.81	CP	0.6	3.0	1.2	1.2	1.2	2.14257	0.664196	0	0	0	0	0	0	0	0	0
2	1	7.78	-12.72	11.81	8.20	-13.13	12.36	CP	0.8	3.8	1.2	1.2	1.2	3.13345	0.971371	0	0	0	0	0	0	0	0	0
2	1	8.20	-13.13	12.36	8.40	-13.13	12.36	CP	0.2	4.0	1.2	1.2	1.2	0.779114	0.241525	0	0	0	0	0	0	0	0	0
2	1	8.40	-13.13	12.36	9.02	-13.34	13.46	CP	1.3	5.3	1.2	1.2	1.2	4.98649	1.54581	0	0	0	0	0	0	0	0	0
2	1	9.02	-13.34	13.46	9.02	-13.55	13.46	CP	0.2	5.5	1.2	1.2	1.2	0.818071	0.253602	0	0	0	0	0	0	0	0	0
2	1	9.02	-13.55	13.46	9.23	-13.75	13.46	CP	0.3	5.8	1.2	1.2	1.2	1.12971	0.350211	0	0	0	0	0	0	0	0	0
2	1	9.23	-13.75	13.46	9.65	-13.75	13.46	CP	0.4	6.2	1.2	1.2	1.2	1.63614	0.507204	0	0	0	0	0	0	0	0	0
2	1	9.65	-13.75	13.46	9.65	-13.75	14.56	CP	1.1	7.3	1.2	1.2	1.2	4.28513	1.32839	0	0	0	0	0	0	0	0	0
2	1	9.65	-13.75	14.56	9.85	-13.75	14.56	CP	0.2	7.5	1.2	1.2	1.2	0.779118	0.241527	0	0	0	0	0	0	0	0	0
2	1	9.85	-13.75	14.56	9.85	-14.58	14.56	CP	0.8	8.4	1.2	1.2	1.2	3.23333	1.00233	0	0	0	0	0	0	0	0	0
2	1	9.85	-14.58	14.56	10.06	-14.58	14.56	CP	0.2	8.6	1.2	1.2	1.2	0.818071	0.253602	0	0	0	0	0	0	0	0	0
2	1	10.06	-14.58	14.56	10.47	-14.79	14.56	CP	0.5	9.0	1.2	1.2	1.2	1.79450	0.556296	0	0	0	0	0	0	0	0	0
2	1	10.47	-14.79	14.56	10.68	-14.79	15.66	CP	1.1	10.1	1.2	1.2	1.2	4.36252	1.35238	0	0	0	0	0	0	0	0	0
2	1	10.68	-14.79	15.66	10.89	-14.79	15.66	CP	0.2	10.4	1.2	1.2	1.2	0.818071	0.253602	0	0	0	0	0	0	0	0	0
2	1	10.89	-14.79	15.66	11.09	-14.79	15.66	CP	0.2	10.6	1.2	1.2	1.2	0.779114	0.241525	0	0	0	0	0	0	0	0	0
2	1	11.09	-14.79	15.66	11.72	-15.41	15.66	CP	0.9	11.4	1.2	1.2	1.2	3.44334	1.06744	0	0	0	0	0	0	0	0	0
2	1	11.72	-15.41	15.66	12.13	-15.62	16.76	CP	1.2	12.6	1.2	1.2	1.2	4.64571	1.44017	0	0	0	0	0	0	0	0	0
2	1	12.13	-15.62	16.76	13.79	-15.20	16.76	CP	1.7	14.3	1.2	1.2	1.2	6.67043	2.06783	0	0	0	0	0	0	0	0	0
2	1	13.79	-15.20	16.76	14.61	-15.20	17.86	CP	1.4	15.7	1.2	1.2	1.2	5.34475	1.65687	0	0	0	0	0	0	0	0	0
2	1	14.61	-15.20	17.86	14.82	-15.20	17.86	CP	0.2	15.9	1.2	1.2	1.2	0.818071	0.253602	0	0	0	0	0	0	0	0	0
