Tree	Order	Start X	Start Y	Start Z	End X	End Y	End Z	Point Type	Length(µm)	Length To Beginning 	Start Diameter(µm)	End Diameter(µm)	Avg Diameter(µm)	Surface Area(µm²)	Volume(µm³)	Spines	None Spine	Thin Spine	Stubby Spine	Mushroom Spine	Filopodia Spine	Branched Spine	Detached Spine	Other Spine
1	1	12.63	-5.56	-8.53	14.70	-6.58	-7.77	CP	2.4	2.4	2.9	2.7	2.8	21.4383	15.0237	0	0	0	0	0	0	0	0	0
1	1	14.70	-6.58	-7.77	17.51	-7.36	-7.00	CP	3.0	5.4	2.7	2.3	2.5	23.6411	14.7160	0	0	0	0	0	0	0	0	0
1	1	17.51	-7.36	-7.00	19.92	-8.06	-7.77	CP	2.6	8.1	2.3	2.2	2.2	18.4375	10.3017	0	0	0	0	0	0	0	0	0
1	1	19.92	-8.06	-7.77	22.50	-8.10	-7.77	CP	2.6	10.7	2.2	2.2	2.2	17.5906	9.54292	0	0	0	0	0	0	0	0	0
1	1	22.50	-8.10	-7.77	23.76	-8.83	-7.77	CP	1.5	12.1	2.2	2.2	2.2	9.92725	5.38553	0	0	0	0	0	0	0	0	0
1	1	23.76	-8.83	-7.77	24.18	-8.96	-7.70	BP	0.4	12.6	2.2	0.4	1.3	4.00820	0.654989	0	0	0	0	0	0	0	0	0
1	2	24.18	-8.96	-7.70	24.80	-8.78	-7.77	CP	0.6	13.2	0.4	0.4	0.4	0.734435	0.0660992	0	0	0	0	0	0	0	0	0
1	2	24.80	-8.78	-7.77	25.16	-8.77	-7.77	CP	0.4	13.6	0.4	2.2	1.3	3.87089	0.529849	0	0	0	0	0	0	0	0	0
1	2	25.16	-8.77	-7.77	27.32	-7.58	-8.53	CP	2.6	16.1	2.2	1.5	1.9	15.1130	7.00580	0	0	0	0	0	0	0	0	0
1	2	27.32	-7.58	-8.53	29.68	-6.87	-8.53	CP	2.5	18.6	1.5	1.5	1.5	11.8459	4.53106	0	0	0	0	0	0	0	0	0
1	2	29.68	-6.87	-8.53	30.89	-6.89	-8.53	BP	1.2	19.8	1.5	0.9	1.2	4.77316	1.43453	0	0	0	0	0	0	0	0	0
1	3	30.89	-6.89	-8.53	31.70	-5.98	-8.53	CP	1.2	21.0	0.9	0.8	0.8	3.20037	0.668476	0	0	0	0	0	0	0	0	0
1	3	31.70	-5.98	-8.53	32.50	-6.13	-7.77	CP	1.1	22.1	0.8	0.8	0.8	2.69382	0.518560	0	0	0	0	0	0	0	0	0
1	3	32.50	-6.13	-7.77	33.22	-5.78	-7.77	CP	0.8	22.9	0.8	0.8	0.8	1.93658	0.372792	0	0	0	0	0	0	0	0	0
1	3	33.22	-5.78	-7.77	33.96	-5.55	-7.77	EP	0.8	23.7	0.8	0.8	0.8	1.87455	0.360850	0	0	0	0	0	0	0	0	0
1	3	30.89	-6.89	-8.53	31.39	-7.44	-10.06	BP	1.7	21.5	0.9	0.6	0.8	4.12676	0.799618	0	0	0	0	0	0	0	0	0
1	4	31.39	-7.44	-10.06	31.23	-8.23	-10.06	CP	0.8	22.3	0.6	0.4	0.5	1.30813	0.168226	0	0	0	0	0	0	0	0	0
1	4	31.23	-8.23	-10.06	31.70	-8.81	-10.06	CP	0.7	23.1	0.4	0.4	0.4	0.891207	0.0846647	0	0	0	0	0	0	0	0	0
1	4	31.70	-8.81	-10.06	32.25	-9.12	-10.06	EP	0.6	23.7	0.4	0.4	0.4	0.753705	0.0716020	0	0	0	0	0	0	0	0	0
1	4	31.39	-7.44	-10.06	32.77	-7.25	-11.59	CP	2.1	23.6	0.6	0.6	0.6	4.16028	0.665645	0	0	0	0	0	0	0	0	0
1	4	32.77	-7.25	-11.59	33.91	-7.10	-11.59	CP	1.1	24.7	0.6	0.6	0.6	2.31186	0.369898	0	0	0	0	0	0	0	0	0
1	4	33.91	-7.10	-11.59	34.84	-7.36	-12.36	CP	1.2	26.0	0.6	0.6	0.6	2.48326	0.397321	0	0	0	0	0	0	0	0	0
1	4	34.84	-7.36	-12.36	35.16	-7.70	-13.89	CP	1.6	27.6	0.6	0.6	0.6	3.21630	0.514608	0	0	0	0	0	0	0	0	0
1	4	35.16	-7.70	-13.89	35.75	-7.37	-13.89	CP	0.7	28.2	0.6	0.6	0.6	1.35921	0.217474	0	0	0	0	0	0	0	0	0
1	4	35.75	-7.37	-13.89	36.36	-7.16	-15.42	CP	1.7	29.9	0.6	0.6	0.6	3.33854	0.534166	0	0	0	0	0	0	0	0	0
1	4	36.36	-7.16	-15.42	36.87	-7.09	-18.48	CP	3.1	33.0	0.6	0.6	0.6	6.23895	0.998231	0	0	0	0	0	0	0	0	0
1	4	36.87	-7.09	-18.48	38.14	-6.91	-21.54	CP	3.3	36.3	0.6	0.6	0.6	6.67117	1.06739	0	0	0	0	0	0	0	0	0
1	4	38.14	-6.91	-21.54	38.43	-5.94	-23.84	CP	2.5	38.8	0.6	0.6	0.6	5.05262	0.808419	0	0	0	0	0	0	0	0	0
1	4	38.43	-5.94	-23.84	39.27	-5.43	-24.60	CP	1.2	40.1	0.6	0.6	0.6	2.49779	0.399646	0	0	0	0	0	0	0	0	0
1	4	39.27	-5.43	-24.60	39.74	-5.12	-24.60	CP	0.6	40.6	0.6	0.6	0.6	1.13204	0.181126	0	0	0	0	0	0	0	0	0
1	4	39.74	-5.12	-24.60	40.21	-4.80	-26.13	CP	1.6	42.3	0.6	0.6	0.6	3.28180	0.525089	0	0	0	0	0	0	0	0	0
1	4	40.21	-4.80	-26.13	41.19	-4.41	-28.43	CP	2.5	44.8	0.6	0.6	0.6	5.08750	0.814001	0	0	0	0	0	0	0	0	0
1	4	41.19	-4.41	-28.43	42.08	-4.29	-29.19	CP	1.2	46.0	0.6	0.6	0.6	2.36545	0.378473	0	0	0	0	0	0	0	0	0
1	4	42.08	-4.29	-29.19	42.41	-3.83	-29.19	CP	0.6	46.6	0.6	0.4	0.5	0.930661	0.118154	0	0	0	0	0	0	0	0	0
1	4	42.41	-3.83	-29.19	42.79	-2.14	-30.72	CP	2.3	48.9	0.4	0.4	0.4	2.75906	0.262111	0	0	0	0	0	0	0	0	0
1	4	42.79	-2.14	-30.72	43.09	-0.96	-30.72	CP	1.2	50.1	0.4	0.4	0.4	1.45350	0.138083	0	0	0	0	0	0	0	0	0
1	4	43.09	-0.96	-30.72	43.50	0.47	-32.25	CP	2.1	52.2	0.4	0.4	0.4	2.54756	0.242019	0	0	0	0	0	0	0	0	0
1	4	43.50	0.47	-32.25	43.81	1.52	-33.79	CP	1.9	54.1	0.4	0.4	0.4	2.25569	0.214291	0	0	0	0	0	0	0	0	0
1	4	43.81	1.52	-33.79	44.41	2.08	-33.79	CP	0.8	54.9	0.4	0.4	0.4	0.979792	0.0930802	0	0	0	0	0	0	0	0	0
