Tree	Order	Start X	Start Y	Start Z	End X	End Y	End Z	Point Type	Length(µm)	Length To Beginning 	Start Diameter(µm)	End Diameter(µm)	Avg Diameter(µm)	Surface Area(µm²)	Volume(µm³)	Spines	None Spine	Thin Spine	Stubby Spine	Mushroom Spine	Filopodia Spine	Branched Spine	Detached Spine	Other Spine
1	1	-11.85	0.11	-1.29	-13.81	0.05	-1.76	CP	2.0	2.0	3.8	3.8	3.8	24.2005	23.1105	0	0	0	0	0	0	0	0	0
1	1	-13.81	0.05	-1.76	-14.82	0.29	-1.99	CP	1.1	3.1	3.8	3.8	3.8	12.6937	12.0590	0	0	0	0	0	0	0	0	0
1	1	-14.82	0.29	-1.99	-15.65	0.56	-2.31	CP	0.9	4.0	3.8	3.8	3.8	11.0979	10.5430	0	0	0	0	0	0	0	0	0
1	1	-15.65	0.56	-2.31	-16.70	0.89	-3.08	CP	1.3	5.4	3.8	4.0	3.9	16.5032	16.0498	0	0	0	0	0	0	0	0	0
1	1	-16.70	0.89	-3.08	-17.73	1.09	-3.08	CP	1.0	6.4	4.0	4.0	4.0	13.1851	13.1851	0	0	0	0	0	0	0	0	0
1	1	-17.73	1.09	-3.08	-18.76	1.32	-3.76	CP	1.3	7.7	4.0	4.0	4.0	15.7767	15.7767	0	0	0	0	0	0	0	0	0
1	1	-18.76	1.32	-3.76	-19.79	1.50	-4.62	CP	1.4	9.0	4.0	4.0	4.0	17.0129	17.0129	0	0	0	0	0	0	0	0	0
1	1	-19.79	1.50	-4.62	-20.82	1.71	-4.62	CP	1.1	10.1	4.0	4.0	4.0	13.2096	13.2096	0	0	0	0	0	0	0	0	0
1	1	-20.82	1.71	-4.62	-21.82	1.61	-5.57	CP	1.4	11.4	4.0	4.0	4.0	17.3784	17.3784	0	0	0	0	0	0	0	0	0
1	1	-21.82	1.61	-5.57	-22.87	1.71	-6.16	CP	1.2	12.7	4.0	3.8	3.9	14.8040	14.2941	0	0	0	0	0	0	0	0	0
1	1	-22.87	1.71	-6.16	-23.84	1.61	-6.52	CP	1.0	13.7	3.8	3.1	3.4	11.7552	9.71604	0	0	0	0	0	0	0	0	0
1	1	-23.84	1.61	-6.52	-24.92	1.70	-6.87	CP	1.1	14.8	3.1	3.1	3.1	11.1986	8.76291	0	0	0	0	0	0	0	0	0
1	1	-24.92	1.70	-6.87	-25.95	1.51	-7.19	CP	1.1	15.9	3.1	3.1	3.1	10.7184	8.34626	0	0	0	0	0	0	0	0	0
1	1	-25.95	1.51	-7.19	-26.97	1.33	-7.67	CP	1.1	17.1	3.1	3.1	3.1	11.1177	8.61625	0	0	0	0	0	0	0	0	0
1	1	-26.97	1.33	-7.67	-28.00	1.14	-8.14	CP	1.1	18.2	3.1	3.0	3.0	10.9331	8.25223	0	0	0	0	0	0	0	0	0
1	1	-28.00	1.14	-8.14	-29.04	0.94	-8.57	CP	1.1	19.4	3.0	2.7	2.8	10.2181	7.19412	0	0	0	0	0	0	0	0	0
1	1	-29.04	0.94	-8.57	-30.33	0.89	-8.97	BP	1.4	20.7	2.7	2.7	2.7	11.5064	7.79561	0	0	0	0	0	0	0	0	0
1	2	-30.33	0.89	-8.97	-31.52	0.91	-9.39	CP	1.3	22.0	2.7	3.0	2.9	11.5224	8.23139	0	0	0	0	0	0	0	0	0
1	2	-31.52	0.91	-9.39	-32.52	0.94	-9.67	CP	1.0	23.0	3.0	3.0	3.0	9.80267	7.34419	0	0	0	0	0	0	0	0	0
1	2	-32.52	0.94	-9.67	-33.52	0.97	-9.94	CP	1.0	24.0	3.0	2.8	2.8	9.32114	6.61332	0	0	0	0	0	0	0	0	0
1	2	-33.52	0.97	-9.94	-34.69	0.74	-9.79	CP	1.2	25.3	2.8	2.1	2.4	9.48454	5.58385	0	0	0	0	0	0	0	0	0
1	2	-34.69	0.74	-9.79	-35.69	0.69	-9.67	CP	1.0	26.3	2.1	1.9	2.0	6.40621	3.21763	0	0	0	0	0	0	0	0	0
1	2	-35.69	0.69	-9.67	-36.75	0.40	-9.98	CP	1.1	27.4	1.9	1.9	1.9	6.87008	3.28884	0	0	0	0	0	0	0	0	0
1	2	-36.75	0.40	-9.98	-37.87	0.39	-9.91	CP	1.1	28.5	1.9	1.9	1.9	6.69861	3.18184	0	0	0	0	0	0	0	0	0
1	2	-37.87	0.39	-9.91	-38.68	0.34	-10.07	CP	0.8	29.4	1.9	2.2	2.1	5.49156	2.78996	0	0	0	0	0	0	0	0	0
1	2	-38.68	0.34	-10.07	-39.73	0.19	-10.25	CP	1.1	30.4	2.2	2.2	2.2	7.57076	4.23962	0	0	0	0	0	0	0	0	0
1	2	-39.73	0.19	-10.25	-40.92	0.04	-10.52	CP	1.2	31.7	2.2	2.3	2.3	8.83142	5.04222	0	0	0	0	0	0	0	0	0
