Tree	Order	Start X	Start Y	Start Z	End X	End Y	End Z	Point Type	Length(µm)	Length To Beginning 	Start Diameter(µm)	End Diameter(µm)	Avg Diameter(µm)	Surface Area(µm²)	Volume(µm³)	Spines	None Spine	Thin Spine	Stubby Spine	Mushroom Spine	Filopodia Spine	Branched Spine	Detached Spine	Other Spine
1	1	-2.34	0.36	24.10	-2.36	0.36	24.10	CP	0.0	0.0	0.2	0.2	0.2	0.0119380	0.000567057	0	0	0	0	0	0	0	0	0
1	1	-2.36	0.36	24.10	-2.28	0.20	22.63	CP	1.5	1.5	0.2	0.3	0.2	1.04704	0.0593545	0	0	0	0	0	0	0	0	0
1	1	-2.28	0.20	22.63	-2.21	0.15	22.63	CP	0.1	1.6	0.3	0.4	0.3	0.0969012	0.00654905	0	0	0	0	0	0	0	0	0
1	1	-2.21	0.15	22.63	-2.13	0.10	22.64	CP	0.1	1.7	0.4	0.3	0.3	0.103560	0.00862322	0	0	0	0	0	0	0	0	0
1	1	-2.13	0.10	22.64	-2.04	0.08	22.64	CP	0.1	1.8	0.3	0.3	0.3	0.0926851	0.00741481	0	0	0	0	0	0	0	0	0
1	1	-2.04	0.08	22.64	-1.90	0.02	22.65	CP	0.2	1.9	0.3	0.3	0.3	0.153454	0.0122763	0	0	0	0	0	0	0	0	0
1	1	-1.90	0.02	22.65	-1.73	-0.05	22.66	CP	0.2	2.1	0.3	0.3	0.3	0.185097	0.0148078	0	0	0	0	0	0	0	0	0
1	1	-1.73	-0.05	22.66	-1.55	-0.26	21.19	CP	1.5	3.6	0.3	0.4	0.3	1.62144	0.140075	0	0	0	0	0	0	0	0	0
1	1	-1.55	-0.26	21.19	-1.48	-0.37	21.20	CP	0.1	3.7	0.4	0.4	0.4	0.154169	0.0144436	0	0	0	0	0	0	0	0	0
1	1	-1.48	-0.37	21.20	-1.41	-0.44	21.21	CP	0.1	3.8	0.4	0.5	0.4	0.155365	0.0148660	0	0	0	0	0	0	0	0	0
1	1	-1.41	-0.44	21.21	-1.36	-0.51	21.21	CP	0.1	3.9	0.5	0.5	0.5	0.132422	0.0162218	0	0	0	0	0	0	0	0	0
1	1	-1.36	-0.51	21.21	-1.28	-0.74	19.75	CP	1.5	5.4	0.5	0.5	0.5	2.30181	0.284856	0	0	0	0	0	0	0	0	0
