Tree	Order	Start X	Start Y	Start Z	End X	End Y	End Z	Point Type	Length(µm)	Length To Beginning 	Start Diameter(µm)	End Diameter(µm)	Avg Diameter(µm)	Surface Area(µm²)	Volume(µm³)	Spines	None Spine	Thin Spine	Stubby Spine	Mushroom Spine	Filopodia Spine	Branched Spine	Detached Spine	Other Spine
1	1	-3.50	4.57	-5.74	-3.66	4.77	-5.74	CP	0.3	0.3	0.5	0.5	0.5	0.418413	0.0543937	0	0	0	0	0	0	0	0	0
1	1	-3.66	4.77	-5.74	-3.77	4.97	-6.79	CP	1.1	1.3	0.5	0.9	0.7	2.37703	0.416254	0	0	0	0	0	0	0	0	0
1	1	-3.77	4.97	-6.79	-4.08	5.15	-6.79	CP	0.4	1.7	0.9	0.9	0.9	0.979762	0.213098	0	0	0	0	0	0	0	0	0
1	1	-4.08	5.15	-6.79	-4.19	5.39	-7.83	CP	1.1	2.8	0.9	0.9	0.9	3.05227	0.690554	0	0	0	0	0	0	0	0	0
1	1	-4.19	5.39	-7.83	-4.33	5.62	-8.89	CP	1.1	3.9	0.9	1.1	1.0	3.56949	0.922725	0	0	0	0	0	0	0	0	0
1	1	-4.33	5.62	-8.89	-4.49	5.80	-8.89	CP	0.2	4.1	1.1	1.2	1.2	0.904386	0.261272	0	0	0	0	0	0	0	0	0
1	1	-4.49	5.80	-8.89	-4.73	6.01	-8.89	CP	0.3	4.4	1.2	1.2	1.2	1.22228	0.372795	0	0	0	0	0	0	0	0	0
1	1	-4.73	6.01	-8.89	-4.86	6.16	-8.89	CP	0.2	4.6	1.2	1.2	1.2	0.760777	0.232037	0	0	0	0	0	0	0	0	0
1	1	-4.86	6.16	-8.89	-4.98	6.44	-9.93	CP	1.1	5.7	1.2	1.1	1.2	4.00378	1.17567	0	0	0	0	0	0	0	0	0
1	1	-4.98	6.44	-9.93	-5.20	6.64	-9.93	CP	0.3	6.0	1.1	1.2	1.2	1.12564	0.328144	0	0	0	0	0	0	0	0	0
1	1	-5.20	6.64	-9.93	-5.44	6.71	-9.93	CP	0.3	6.2	1.2	0.9	1.0	1.04089	0.216908	0	0	0	0	0	0	0	0	0
1	1	-5.44	6.71	-9.93	-5.83	6.84	-9.93	CP	0.4	6.7	0.9	1.0	0.9	1.26270	0.292470	0	0	0	0	0	0	0	0	0
1	1	-5.83	6.84	-9.93	-6.01	6.98	-9.93	CP	0.2	6.9	1.0	1.2	1.1	0.888607	0.235341	0	0	0	0	0	0	0	0	0
1	1	-6.01	6.98	-9.93	-6.29	7.34	-10.97	CP	1.1	8.0	1.2	1.3	1.3	4.51412	1.42743	0	0	0	0	0	0	0	0	0
1	1	-6.29	7.34	-10.97	-6.40	7.60	-10.97	CP	0.3	8.3	1.3	1.4	1.4	1.25262	0.413543	0	0	0	0	0	0	0	0	0
1	1	-6.40	7.60	-10.97	-6.60	7.88	-10.97	CP	0.3	8.6	1.4	1.6	1.5	1.65568	0.612504	0	0	0	0	0	0	0	0	0
1	1	-6.60	7.88	-10.97	-6.73	8.22	-12.01	CP	1.1	9.7	1.6	1.4	1.5	5.07906	1.84818	0	0	0	0	0	0	0	0	0
1	1	-6.73	8.22	-12.01	-6.82	8.47	-12.01	CP	0.3	10.0	1.4	1.2	1.3	1.10588	0.339636	0	0	0	0	0	0	0	0	0
1	1	-6.82	8.47	-12.01	-6.98	8.83	-12.01	CP	0.4	10.4	1.2	1.1	1.1	1.43084	0.405957	0	0	0	0	0	0	0	0	0
1	1	-6.98	8.83	-12.01	-7.21	9.00	-12.01	CP	0.3	10.7	1.1	0.8	1.0	0.950370	0.204196	0	0	0	0	0	0	0	0	0
1	1	-7.21	9.00	-12.01	-7.43	9.18	-12.01	CP	0.3	11.0	0.8	0.6	0.7	0.672127	0.113286	0	0	0	0	0	0	0	0	0
1	1	-7.43	9.18	-12.01	-7.62	9.44	-12.01	CP	0.3	11.3	0.6	0.5	0.6	0.569607	0.0781599	0	0	0	0	0	0	0	0	0
1	1	-7.62	9.44	-12.01	-7.92	9.68	-12.01	CP	0.4	11.7	0.5	0.4	0.5	0.568999	0.0667450	0	0	0	0	0	0	0	0	0
1	1	-7.92	9.68	-12.01	-8.19	10.10	-13.06	CP	1.2	12.8	0.4	0.4	0.4	1.60716	0.176787	0	0	0	0	0	0	0	0	0
1	1	-8.19	10.10	-13.06	-8.45	10.44	-13.06	CP	0.4	13.3	0.4	0.4	0.4	0.571831	0.0607450	0	0	0	0	0	0	0	0	0
1	1	-8.45	10.44	-13.06	-8.83	10.72	-13.06	CP	0.5	13.7	0.4	0.4	0.4	0.578845	0.0564362	0	0	0	0	0	0	0	0	0
1	1	-8.83	10.72	-13.06	-9.12	11.11	-13.06	CP	0.5	14.2	0.4	0.4	0.4	0.564925	0.0522556	0	0	0	0	0	0	0	0	0
1	1	-9.12	11.11	-13.06	-9.53	11.53	-13.06	CP	0.6	14.8	0.4	0.4	0.4	0.682254	0.0631085	0	0	0	0	0	0	0	0	0
1	1	-9.53	11.53	-13.06	-9.76	11.94	-13.06	CP	0.5	15.3	0.4	0.4	0.4	0.546447	0.0505463	0	0	0	0	0	0	0	0	0
1	1	-9.76	11.94	-13.06	-10.06	12.33	-13.06	CP	0.5	15.8	0.4	0.4	0.4	0.571939	0.0529043	0	0	0	0	0	0	0	0	0
1	1	-10.06	12.33	-13.06	-10.15	12.61	-14.10	CP	1.1	16.9	0.4	0.5	0.4	1.41031	0.146766	0	0	0	0	0	0	0	0	0
1	1	-10.15	12.61	-14.10	-10.17	12.95	-14.10	CP	0.3	17.2	0.5	0.5	0.5	0.514479	0.0616670	0	0	0	0	0	0	0	0	0
1	1	-10.17	12.95	-14.10	-10.30	13.39	-14.10	CP	0.5	17.7	0.5	0.8	0.7	0.996520	0.157482	0	0	0	0	0	0	0	0	0
1	1	-10.30	13.39	-14.10	-10.37	13.63	-14.10	CP	0.2	17.9	0.8	1.0	0.9	0.760373	0.161406	0	0	0	0	0	0	0	0	0
1	1	-10.37	13.63	-14.10	-10.54	13.89	-14.10	CP	0.3	18.2	1.0	1.3	1.2	1.28737	0.333350	0	0	0	0	0	0	0	0	0
1	1	-10.54	13.89	-14.10	-10.58	14.23	-14.10	CP	0.3	18.6	1.3	1.6	1.5	1.65251	0.566603	0	0	0	0	0	0	0	0	0
1	1	-10.58	14.23	-14.10	-10.64	14.45	-14.10	CP	0.2	18.8	1.6	1.7	1.6	1.17929	0.467250	0	0	0	0	0	0	0	0	0
1	1	-10.64	14.45	-14.10	-10.65	14.58	-14.10	CP	0.1	18.9	1.7	1.7	1.7	0.710335	0.292505	0	0	0	0	0	0	0	0	0
1	1	-10.65	14.58	-14.10	-10.92	14.82	-14.10	CP	0.4	19.3	1.7	1.3	1.5	1.98763	0.647013	0	0	0	0	0	0	0	0	0
1	1	-10.92	14.82	-14.10	-11.30	15.05	-14.10	CP	0.4	19.7	1.3	0.9	1.1	1.67036	0.429949	0	0	0	0	0	0	0	0	0
1	1	-11.30	15.05	-14.10	-11.54	15.34	-14.10	CP	0.4	20.1	0.9	0.6	0.7	0.971583	0.167110	0	0	0	0	0	0	0	0	0
1	1	-11.54	15.34	-14.10	-11.77	15.67	-14.10	CP	0.4	20.5	0.6	0.5	0.5	0.656854	0.0841089	0	0	0	0	0	0	0	0	0
1	1	-11.77	15.67	-14.10	-12.05	15.99	-14.10	CP	0.4	20.9	0.5	0.4	0.4	0.582086	0.0632623	0	0	0	0	0	0	0	0	0
1	1	-12.05	15.99	-14.10	-12.26	16.28	-14.10	CP	0.4	21.3	0.4	0.4	0.4	0.461189	0.0472718	0	0	0	0	0	0	0	0	0
1	1	-12.26	16.28	-14.10	-12.44	16.57	-14.10	CP	0.3	21.6	0.4	0.4	0.4	0.439638	0.0450629	0	0	0	0	0	0	0	0	0
1	1	-12.44	16.57	-14.10	-12.68	16.89	-15.16	CP	1.1	22.8	0.4	0.4	0.4	1.45931	0.149580	0	0	0	0	0	0	0	0	0
1	1	-12.68	16.89	-15.16	-12.93	17.22	-15.16	CP	0.4	23.2	0.4	0.4	0.4	0.520405	0.0520362	0	0	0	0	0	0	0	0	0
1	1	-12.93	17.22	-15.16	-13.22	17.51	-15.16	CP	0.4	23.6	0.4	0.4	0.4	0.502491	0.0489928	0	0	0	0	0	0	0	0	0
1	1	-13.22	17.51	-15.16	-13.63	17.71	-15.16	CP	0.5	24.0	0.4	0.4	0.4	0.558920	0.0544947	0	0	0	0	0	0	0	0	0
1	1	-13.63	17.71	-15.16	-13.89	17.82	-15.16	CP	0.3	24.3	0.4	0.4	0.4	0.345895	0.0337248	0	0	0	0	0	0	0	0	0
1	1	-13.89	17.82	-15.16	-14.19	17.95	-15.16	CP	0.3	24.7	0.4	0.5	0.5	0.490035	0.0560059	0	0	0	0	0	0	0	0	0
1	1	-14.19	17.95	-15.16	-14.35	18.10	-15.16	CP	0.2	24.9	0.5	0.7	0.6	0.469201	0.0688317	0	0	0	0	0	0	0	0	0
1	1	-14.35	18.10	-15.16	-14.46	18.24	-15.16	CP	0.2	25.1	0.7	0.9	0.8	0.545712	0.0968968	0	0	0	0	0	0	0	0	0
1	1	-14.46	18.24	-15.16	-14.54	18.47	-15.16	CP	0.2	25.3	0.9	1.0	1.0	0.780375	0.189542	0	0	0	0	0	0	0	0	0
1	1	-14.54	18.47	-15.16	-14.85	18.70	-15.16	CP	0.4	25.7	1.0	1.1	1.1	1.34509	0.367087	0	0	0	0	0	0	0	0	0
1	1	-14.85	18.70	-15.16	-14.99	18.87	-15.16	CP	0.2	25.9	1.1	1.3	1.2	0.905400	0.262049	0	0	0	0	0	0	0	0	0
1	1	-14.99	18.87	-15.16	-15.13	19.18	-15.16	CP	0.3	26.2	1.3	1.5	1.4	1.55884	0.528166	0	0	0	0	0	0	0	0	0
1	1	-15.13	19.18	-15.16	-15.26	19.41	-16.19	CP	1.1	27.3	1.5	1.5	1.5	5.01089	1.87908	0	0	0	0	0	0	0	0	0
1	1	-15.26	19.41	-16.19	-15.41	19.64	-16.19	CP	0.3	27.6	1.5	1.5	1.5	1.29397	0.485241	0	0	0	0	0	0	0	0	0
1	1	-15.41	19.64	-16.19	-15.51	19.69	-16.19	BP	0.1	27.7	1.5	1.5	1.5	0.526865	0.197574	0	0	0	0	0	0	0	0	0
1	2	-15.51	19.69	-16.19	-15.73	19.88	-16.19	CP	0.3	28.0	1.5	1.3	1.4	1.35451	0.445127	0	0	0	0	0	0	0	0	0
1	2	-15.73	19.88	-16.19	-15.84	20.09	-16.19	CP	0.2	28.2	1.3	1.1	1.2	0.951096	0.273000	0	0	0	0	0	0	0	0	0
1	2	-15.84	20.09	-16.19	-15.83	20.12	-16.19	CP	0.0	28.3	1.1	1.1	1.1	0.112263	0.0317144	0	0	0	0	0	0	0	0	0
1	2	-15.83	20.12	-16.19	-15.90	20.35	-16.19	CP	0.2	28.5	1.1	1.0	1.0	0.837154	0.206653	0	0	0	0	0	0	0	0	0
1	2	-15.90	20.35	-16.19	-16.06	20.69	-16.19	CP	0.4	28.9	1.0	0.6	0.8	1.02798	0.193612	0	0	0	0	0	0	0	0	0
1	2	-16.06	20.69	-16.19	-16.19	21.06	-16.19	CP	0.4	29.3	0.6	0.5	0.6	0.703562	0.0958019	0	0	0	0	0	0	0	0	0
1	2	-16.19	21.06	-16.19	-16.38	21.45	-16.19	CP	0.4	29.7	0.5	0.4	0.4	0.568633	0.0589109	0	0	0	0	0	0	0	0	0
1	2	-16.38	21.45	-16.19	-16.56	21.95	-16.19	CP	0.5	30.2	0.4	0.4	0.4	0.617709	0.0571381	0	0	0	0	0	0	0	0	0
1	2	-16.56	21.95	-16.19	-16.83	22.43	-16.19	CP	0.6	30.8	0.4	0.4	0.4	0.640159	0.0592147	0	0	0	0	0	0	0	0	0
1	2	-16.83	22.43	-16.19	-16.99	22.79	-16.19	CP	0.4	31.2	0.4	0.4	0.4	0.457929	0.0423584	0	0	0	0	0	0	0	0	0
1	2	-16.99	22.79	-16.19	-17.23	23.16	-16.19	CP	0.4	31.6	0.4	0.4	0.4	0.512638	0.0474190	0	0	0	0	0	0	0	0	0
1	2	-17.23	23.16	-16.19	-17.31	23.25	-16.19	CP	0.1	31.7	0.4	0.3	0.4	0.134218	0.0115980	0	0	0	0	0	0	0	0	0
