Tree	Order	Start X	Start Y	Start Z	End X	End Y	End Z	Point Type	Length(µm)	Length To Beginning 	Start Diameter(µm)	End Diameter(µm)	Avg Diameter(µm)	Surface Area(µm²)	Volume(µm³)	Spines	None Spine	Thin Spine	Stubby Spine	Mushroom Spine	Filopodia Spine	Branched Spine	Detached Spine	Other Spine
1	1	4.57	2.14	14.65	5.08	2.40	14.69	CP	0.6	0.6	1.2	1.4	1.3	2.31169	0.727892	0	0	0	0	0	0	0	0	0
1	1	5.08	2.40	14.69	5.60	2.85	14.78	CP	0.7	1.3	1.4	1.4	1.4	2.94141	0.992727	0	0	0	0	0	0	0	0	0
1	1	5.60	2.85	14.78	6.22	3.77	14.92	CP	1.1	2.4	1.4	1.5	1.5	5.11413	1.84943	0	0	0	0	0	0	0	0	0
1	1	6.22	3.77	14.92	6.81	4.47	15.03	CP	0.9	3.3	1.5	1.5	1.5	4.48996	1.73986	0	0	0	0	0	0	0	0	0
1	1	6.81	4.47	15.03	7.16	5.01	13.78	CP	1.4	4.7	1.5	1.5	1.5	6.84606	2.65285	0	0	0	0	0	0	0	0	0
1	1	7.16	5.01	13.78	7.62	5.41	13.84	CP	0.6	5.3	1.5	1.5	1.5	2.98272	1.15580	0	0	0	0	0	0	0	0	0
1	1	7.62	5.41	13.84	8.10	6.23	12.63	CP	1.5	6.9	1.5	1.5	1.5	7.49155	2.90298	0	0	0	0	0	0	0	0	0
1	1	8.10	6.23	12.63	8.45	6.60	12.69	CP	0.5	7.4	1.5	1.5	1.5	2.49723	0.967678	0	0	0	0	0	0	0	0	0
1	1	8.45	6.60	12.69	8.69	6.87	12.73	CP	0.4	7.7	1.5	1.5	1.5	1.76983	0.685811	0	0	0	0	0	0	0	0	0
1	1	8.69	6.87	12.73	8.99	7.29	12.80	CP	0.5	8.3	1.5	1.5	1.5	2.53634	0.982830	0	0	0	0	0	0	0	0	0
1	1	8.99	7.29	12.80	9.19	7.78	12.88	CP	0.5	8.8	1.5	1.5	1.5	2.55300	0.965061	0	0	0	0	0	0	0	0	0
1	1	9.19	7.78	12.88	9.40	8.21	12.94	CP	0.5	9.3	1.5	1.6	1.5	2.36207	0.904706	0	0	0	0	0	0	0	0	0
1	1	9.40	8.21	12.94	9.56	8.76	11.69	CP	1.4	10.7	1.6	1.6	1.6	6.95466	2.79925	0	0	0	0	0	0	0	0	0
1	1	9.56	8.76	11.69	10.06	9.22	11.77	CP	0.7	11.3	1.6	1.3	1.5	3.22477	1.16455	0	0	0	0	0	0	0	0	0
1	1	10.06	9.22	11.77	10.05	9.36	10.44	CP	1.3	12.7	1.3	1.3	1.3	5.50461	1.80270	0	0	0	0	0	0	0	0	0
1	1	10.05	9.36	10.44	10.35	9.74	10.51	CP	0.5	13.2	1.3	1.3	1.3	1.96036	0.624600	0	0	0	0	0	0	0	0	0
1	1	10.35	9.74	10.51	10.16	9.76	11.86	CP	1.4	14.5	1.3	1.6	1.4	6.19711	2.21606	0	0	0	0	0	0	0	0	0
1	1	10.16	9.76	11.86	10.16	9.55	13.15	CP	1.3	15.8	1.6	1.6	1.6	6.61066	2.66079	0	0	0	0	0	0	0	0	0
1	1	10.16	9.55	13.15	10.17	9.53	14.52	CP	1.4	17.2	1.6	1.5	1.6	6.69898	2.60322	0	0	0	0	0	0	0	0	0
1	1	10.17	9.53	14.52	10.24	9.70	15.90	CP	1.4	18.6	1.5	1.3	1.4	6.05808	2.08757	0	0	0	0	0	0	0	0	0
1	1	10.24	9.70	15.90	10.58	9.79	15.90	CP	0.4	18.9	1.3	1.3	1.3	1.39221	0.438547	0	0	0	0	0	0	0	0	0
1	1	10.58	9.79	15.90	10.75	9.86	17.27	CP	1.4	20.3	1.3	1.0	1.2	5.03011	1.45226	0	0	0	0	0	0	0	0	0
