Tree	Order	Start X	Start Y	Start Z	End X	End Y	End Z	Point Type	Length(µm)	Length To Beginning 	Start Diameter(µm)	End Diameter(µm)	Avg Diameter(µm)	Surface Area(µm²)	Volume(µm³)	Spines	None Spine	Thin Spine	Stubby Spine	Mushroom Spine	Filopodia Spine	Branched Spine	Detached Spine	Other Spine
1	1	-429.34	223.69	-3343.43	-426.88	228.17	-3345.79	CP	5.6	5.6	4.1	3.9	4.0	71.3746	72.0029	0	0	0	0	0	0	0	0	0
1	1	-426.88	228.17	-3345.79	-426.26	228.20	-3352.86	CP	7.1	12.7	3.9	3.9	3.9	87.6261	86.0926	0	0	0	0	0	0	0	0	0
1	1	-426.26	228.20	-3352.86	-427.17	226.75	-3355.01	CP	2.7	15.5	3.9	3.7	3.8	33.0892	31.6692	0	0	0	0	0	0	0	0	0
1	1	-427.17	226.75	-3355.01	-427.60	226.93	-3356.20	CP	1.3	16.8	3.7	3.7	3.7	14.9756	13.9648	0	0	0	0	0	0	0	0	0
1	1	-427.60	226.93	-3356.20	-427.26	228.50	-3356.20	CP	1.6	18.4	3.7	2.5	3.1	16.7954	12.2551	0	0	0	0	0	0	0	0	0
1	1	-427.26	228.50	-3356.20	-427.07	230.22	-3356.20	CP	1.7	20.1	2.5	2.5	2.5	13.3736	8.22475	0	0	0	0	0	0	0	0	0
1	1	-427.07	230.22	-3356.20	-426.22	231.83	-3356.20	CP	1.8	21.9	2.5	2.5	2.5	14.0702	8.65320	0	0	0	0	0	0	0	0	0
1	1	-426.22	231.83	-3356.20	-424.65	234.00	-3355.01	CP	2.9	24.8	2.5	2.2	2.3	21.6528	12.7214	0	0	0	0	0	0	0	0	0
1	1	-424.65	234.00	-3355.01	-423.19	235.52	-3355.01	CP	2.1	26.9	2.2	2.2	2.2	14.8316	8.30567	0	0	0	0	0	0	0	0	0
1	1	-423.19	235.52	-3355.01	-423.18	235.63	-3355.01	CP	0.1	27.1	2.2	2.2	2.2	0.777291	0.435283	0	0	0	0	0	0	0	0	0
1	1	-423.18	235.63	-3355.01	-421.49	237.36	-3355.01	CP	2.4	29.5	2.2	2.2	2.2	17.0192	9.53074	0	0	0	0	0	0	0	0	0
1	1	-421.49	237.36	-3355.01	-418.75	240.41	-3355.01	CP	4.1	33.6	2.2	2.2	2.2	28.8524	16.1574	0	0	0	0	0	0	0	0	0
1	1	-418.75	240.41	-3355.01	-417.04	242.58	-3352.66	CP	3.6	37.2	2.2	2.2	2.2	25.5246	14.2938	0	0	0	0	0	0	0	0	0
1	1	-417.04	242.58	-3352.66	-415.26	244.09	-3350.30	CP	3.3	40.5	2.2	2.2	2.2	22.8910	12.5620	0	0	0	0	0	0	0	0	0
1	1	-415.26	244.09	-3350.30	-413.80	245.86	-3350.30	BP	2.3	42.8	2.2	2.2	2.2	15.4978	8.33007	0	0	0	0	0	0	0	0	0
1	2	-413.80	245.86	-3350.30	-413.47	247.45	-3349.13	CP	2.0	44.8	2.2	1.4	1.8	11.3556	5.02656	0	0	0	0	0	0	0	0	0
1	2	-413.47	247.45	-3349.13	-412.41	248.33	-3347.94	CP	1.8	46.6	1.4	1.6	1.5	8.62147	3.24370	0	0	0	0	0	0	0	0	0
1	2	-412.41	248.33	-3347.94	-411.18	250.38	-3347.94	CP	2.4	49.0	1.6	1.6	1.6	12.0921	4.86706	0	0	0	0	0	0	0	0	0
1	2	-411.18	250.38	-3347.94	-411.06	250.48	-3347.94	CP	0.2	49.2	1.6	1.6	1.6	0.790031	0.317987	0	0	0	0	0	0	0	0	0
1	2	-411.06	250.48	-3347.94	-409.58	252.33	-3347.94	CP	2.4	51.6	1.6	1.6	1.6	11.9832	4.82322	0	0	0	0	0	0	0	0	0
1	2	-409.58	252.33	-3347.94	-409.06	252.75	-3347.94	CP	0.7	52.2	1.6	1.6	1.6	3.38085	1.36079	0	0	0	0	0	0	0	0	0
1	2	-409.06	252.75	-3347.94	-407.27	254.92	-3347.94	CP	2.8	55.0	1.6	1.6	1.6	14.2281	5.72681	0	0	0	0	0	0	0	0	0
1	2	-407.27	254.92	-3347.94	-405.78	255.80	-3347.94	CP	1.7	56.8	1.6	1.7	1.7	9.02817	3.74626	0	0	0	0	0	0	0	0	0
1	2	-405.78	255.80	-3347.94	-404.19	256.70	-3347.94	CP	1.8	58.6	1.7	1.7	1.7	9.81513	4.19597	0	0	0	0	0	0	0	0	0
1	2	-404.19	256.70	-3347.94	-403.98	256.80	-3347.94	CP	0.2	58.8	1.7	1.7	1.7	1.24943	0.534130	0	0	0	0	0	0	0	0	0
1	2	-403.98	256.80	-3347.94	-401.97	258.22	-3347.94	CP	2.5	61.3	1.7	1.7	1.7	13.2209	5.65192	0	0	0	0	0	0	0	0	0
1	2	-401.97	258.22	-3347.94	-400.50	260.81	-3347.94	CP	3.0	64.3	1.7	1.5	1.6	15.0256	6.03387	0	0	0	0	0	0	0	0	0
1	2	-400.50	260.81	-3347.94	-400.40	260.81	-3347.94	CP	0.1	64.4	1.5	1.5	1.5	0.471268	0.176725	0	0	0	0	0	0	0	0	0
1	2	-400.40	260.81	-3347.94	-399.14	262.34	-3347.94	CP	2.0	66.3	1.5	1.5	1.5	9.34010	3.50254	0	0	0	0	0	0	0	0	0
1	2	-399.14	262.34	-3347.94	-399.01	262.43	-3347.94	CP	0.2	66.5	1.5	1.5	1.5	0.745103	0.279414	0	0	0	0	0	0	0	0	0
1	2	-399.01	262.43	-3347.94	-397.97	264.72	-3347.94	BP	2.5	69.0	1.5	1.5	1.5	11.8522	4.44456	0	0	0	0	0	0	0	0	0
1	3	-397.97	264.72	-3347.94	-398.97	266.19	-3345.59	CP	2.9	72.0	1.5	1.3	1.4	12.8764	4.48077	0	0	0	0	0	0	0	0	0
1	3	-398.97	266.19	-3345.59	-399.75	267.80	-3345.59	CP	1.8	73.8	1.3	1.3	1.3	7.19392	2.30205	0	0	0	0	0	0	0	0	0
1	3	-399.75	267.80	-3345.59	-400.51	269.60	-3345.59	CP	2.0	75.7	1.3	1.6	1.4	8.90145	3.21817	0	0	0	0	0	0	0	0	0
1	3	-400.51	269.60	-3345.59	-400.81	271.12	-3345.59	BP	1.5	77.3	1.6	1.6	1.6	7.83635	3.15413	0	0	0	0	0	0	0	0	0
1	4	-400.81	271.12	-3345.59	-400.75	271.44	-3344.42	CP	1.2	78.5	1.6	1.6	1.6	6.14349	2.47275	0	0	0	0	0	0	0	0	0
1	4	-400.75	271.44	-3344.42	-400.03	273.46	-3338.52	CP	6.3	84.8	1.6	1.0	1.3	25.3761	8.31475	0	0	0	0	0	0	0	0	0
1	4	-400.03	273.46	-3338.52	-399.61	274.54	-3338.52	CP	1.2	85.9	1.0	1.0	1.0	3.49490	0.838776	0	0	0	0	0	0	0	0	0
1	4	-399.61	274.54	-3338.52	-399.51	274.75	-3338.52	CP	0.2	86.1	1.0	1.0	1.0	0.701432	0.168344	0	0	0	0	0	0	0	0	0
1	4	-399.51	274.75	-3338.52	-398.99	275.30	-3338.52	CP	0.8	86.9	1.0	1.4	1.2	2.92203	0.837335	0	0	0	0	0	0	0	0	0
1	4	-398.99	275.30	-3338.52	-399.23	276.49	-3338.52	CP	1.2	88.1	1.4	1.0	1.2	4.57357	1.34296	0	0	0	0	0	0	0	0	0
1	4	-399.23	276.49	-3338.52	-399.23	277.65	-3338.52	CP	1.2	89.3	1.0	1.0	1.0	3.49849	0.839637	0	0	0	0	0	0	0	0	0
1	4	-399.23	277.65	-3338.52	-399.14	278.62	-3338.52	CP	1.0	90.3	1.0	1.4	1.2	3.70226	1.07768	0	0	0	0	0	0	0	0	0
1	4	-399.14	278.62	-3338.52	-399.48	279.58	-3338.52	CP	1.0	91.3	1.4	1.4	1.4	4.47925	1.56774	0	0	0	0	0	0	0	0	0
1	4	-399.48	279.58	-3338.52	-399.80	280.21	-3338.52	CP	0.7	92.0	1.4	1.4	1.4	3.10781	1.08773	0	0	0	0	0	0	0	0	0
1	4	-399.80	280.21	-3338.52	-399.62	281.63	-3336.16	CP	2.8	94.7	1.4	0.9	1.1	9.80380	2.79838	0	0	0	0	0	0	0	0	0
1	4	-399.62	281.63	-3336.16	-399.73	282.79	-3336.16	CP	1.2	95.9	0.9	0.9	0.9	3.11152	0.661198	0	0	0	0	0	0	0	0	0
1	4	-399.73	282.79	-3336.16	-399.55	283.76	-3336.16	CP	1.0	96.9	0.9	0.9	0.9	2.63448	0.559827	0	0	0	0	0	0	0	0	0
