Tree	Order	Start X	Start Y	Start Z	End X	End Y	End Z	Point Type	Length(µm)	Length To Beginning 	Start Diameter(µm)	End Diameter(µm)	Avg Diameter(µm)	Surface Area(µm²)	Volume(µm³)	Spines	None Spine	Thin Spine	Stubby Spine	Mushroom Spine	Filopodia Spine	Branched Spine	Detached Spine	Other Spine
1	1	-6.23	6.99	2.92	-6.25	7.22	3.00	CP	0.2	0.2	1.3	0.9	1.1	1.03502	0.223955	0	0	0	0	0	0	0	0	0
1	1	-6.25	7.22	3.00	-6.27	7.59	3.14	CP	0.4	0.6	0.9	0.5	0.7	0.972716	0.162219	0	0	0	0	0	0	0	0	0
1	1	-6.27	7.59	3.14	-6.26	7.94	3.27	CP	0.4	1.0	0.5	0.4	0.5	0.580083	0.0706763	0	0	0	0	0	0	0	0	0
1	1	-6.26	7.94	3.27	-6.43	8.50	3.47	CP	0.6	1.6	0.4	0.4	0.4	0.854906	0.0940396	0	0	0	0	0	0	0	0	0
1	1	-6.43	8.50	3.47	-6.69	8.79	3.59	CP	0.4	2.0	0.4	0.4	0.4	0.563362	0.0619698	0	0	0	0	0	0	0	0	0
1	1	-6.69	8.79	3.59	-6.85	9.23	3.75	CP	0.5	2.5	0.4	0.4	0.4	0.683924	0.0752317	0	0	0	0	0	0	0	0	0
1	1	-6.85	9.23	3.75	-7.02	9.57	3.89	CP	0.4	2.9	0.4	0.4	0.4	0.559960	0.0615956	0	0	0	0	0	0	0	0	0
1	1	-7.02	9.57	3.89	-7.16	10.22	3.04	CP	1.1	4.0	0.4	0.6	0.5	1.85644	0.254866	0	0	0	0	0	0	0	0	0
1	1	-7.16	10.22	3.04	-7.21	10.31	3.08	CP	0.1	4.1	0.6	0.6	0.6	0.225551	0.0366520	0	0	0	0	0	0	0	0	0
1	1	-7.21	10.31	3.08	-7.54	10.65	3.21	CP	0.5	4.6	0.6	0.8	0.7	1.11325	0.197818	0	0	0	0	0	0	0	0	0
1	1	-7.54	10.65	3.21	-7.91	10.89	4.39	CP	1.3	5.9	0.8	0.8	0.8	3.08688	0.601941	0	0	0	0	0	0	0	0	0
1	1	-7.91	10.89	4.39	-8.18	11.25	4.52	CP	0.5	6.3	0.8	0.6	0.7	1.05064	0.183536	0	0	0	0	0	0	0	0	0
1	1	-8.18	11.25	4.52	-8.53	11.68	4.69	CP	0.6	6.9	0.6	0.5	0.6	1.05227	0.151047	0	0	0	0	0	0	0	0	0
1	1	-8.53	11.68	4.69	-8.88	11.98	4.79	CP	0.5	7.4	0.5	0.4	0.5	0.713858	0.0855542	0	0	0	0	0	0	0	0	0
1	1	-8.88	11.98	4.79	-9.14	12.23	4.89	CP	0.4	7.8	0.4	0.4	0.4	0.517394	0.0569134	0	0	0	0	0	0	0	0	0
1	1	-9.14	12.23	4.89	-9.42	12.53	5.00	CP	0.4	8.2	0.4	0.4	0.4	0.587274	0.0646002	0	0	0	0	0	0	0	0	0
1	1	-9.42	12.53	5.00	-9.69	12.73	5.08	CP	0.3	8.5	0.4	0.4	0.4	0.477444	0.0525188	0	0	0	0	0	0	0	0	0
1	1	-9.69	12.73	5.08	-9.97	13.23	5.26	CP	0.6	9.1	0.4	0.4	0.4	0.765552	0.0775735	0	0	0	0	0	0	0	0	0
1	1	-9.97	13.23	5.26	-10.04	13.83	5.50	CP	0.7	9.8	0.4	0.4	0.4	0.755553	0.0698887	0	0	0	0	0	0	0	0	0
1	1	-10.04	13.83	5.50	-10.16	13.65	6.50	CP	1.0	10.8	0.4	0.4	0.4	1.18928	0.110008	0	0	0	0	0	0	0	0	0
1	1	-10.16	13.65	6.50	-10.52	13.79	6.56	CP	0.4	11.2	0.4	0.4	0.4	0.454375	0.0420296	0	0	0	0	0	0	0	0	0
1	1	-10.52	13.79	6.56	-11.13	13.82	6.58	CP	0.6	11.8	0.4	0.4	0.4	0.749090	0.0730612	0	0	0	0	0	0	0	0	0
1	1	-11.13	13.82	6.58	-11.83	13.40	7.50	CP	1.2	13.1	0.4	0.4	0.4	1.58425	0.162386	0	0	0	0	0	0	0	0	0
