Tree	Order	Start X	Start Y	Start Z	End X	End Y	End Z	Point Type	Length(µm)	Length To Beginning 	Start Diameter(µm)	End Diameter(µm)	Avg Diameter(µm)	Surface Area(µm²)	Volume(µm³)	Spines	None Spine	Thin Spine	Stubby Spine	Mushroom Spine	Filopodia Spine	Branched Spine	Detached Spine	Other Spine
1	1	12.26	-1.82	-2.08	12.78	-1.62	-2.08	CP	0.6	0.6	5.0	4.5	4.7	8.99472	9.81854	0	0	0	0	0	0	0	0	0
1	1	12.78	-1.62	-2.08	13.63	-1.32	-1.04	CP	1.4	1.9	4.5	4.1	4.3	18.8373	20.1841	0	0	0	0	0	0	0	0	0
1	1	13.63	-1.32	-1.04	14.37	-1.05	-1.04	CP	0.8	2.7	4.1	4.0	4.1	10.1418	10.3497	0	0	0	0	0	0	0	0	0
1	1	14.37	-1.05	-1.04	15.57	-0.57	0.00	CP	1.7	4.4	4.0	4.1	4.1	21.1075	21.3710	0	0	0	0	0	0	0	0	0
1	1	15.57	-0.57	0.00	16.42	-0.35	0.00	CP	0.9	5.3	4.1	4.2	4.1	11.4669	11.8207	0	0	0	0	0	0	0	0	0
1	1	16.42	-0.35	0.00	17.08	-0.01	0.00	CP	0.7	6.0	4.2	4.3	4.3	9.95047	10.5822	0	0	0	0	0	0	0	0	0
1	1	17.08	-0.01	0.00	17.87	0.35	0.00	CP	0.9	6.9	4.3	4.4	4.4	11.9199	12.9625	0	0	0	0	0	0	0	0	0
1	1	17.87	0.35	0.00	18.92	1.07	0.00	BP	1.3	8.1	4.4	4.7	4.6	18.3767	20.8447	0	0	0	0	0	0	0	0	0
1	2	18.92	1.07	0.00	19.82	1.95	0.00	CP	1.3	9.4	4.7	3.7	4.2	17.9167	17.5646	0	0	0	0	0	0	0	0	0
1	2	19.82	1.95	0.00	20.34	2.40	0.00	CP	0.7	10.1	3.7	3.5	3.6	7.85666	6.98226	0	0	0	0	0	0	0	0	0
1	2	20.34	2.40	0.00	20.99	2.81	0.00	CP	0.8	10.9	3.5	3.1	3.3	8.20730	6.59983	0	0	0	0	0	0	0	0	0
1	2	20.99	2.81	0.00	21.51	3.16	0.00	BP	0.6	11.5	3.1	3.1	3.1	6.14392	4.79226	0	0	0	0	0	0	0	0	0
1	3	21.51	3.16	0.00	21.79	3.07	0.00	CP	0.3	11.8	3.1	2.6	2.9	3.50362	1.90105	0	0	0	0	0	0	0	0	0
1	3	21.79	3.07	0.00	22.39	3.40	0.00	CP	0.7	12.5	2.6	2.0	2.3	5.42001	2.90979	0	0	0	0	0	0	0	0	0
1	3	22.39	3.40	0.00	22.83	3.50	0.00	CP	0.5	12.9	2.0	1.8	1.9	2.80164	1.29454	0	0	0	0	0	0	0	0	0
1	3	22.83	3.50	0.00	23.27	3.72	0.00	CP	0.5	13.4	1.8	1.4	1.6	2.65501	0.970202	0	0	0	0	0	0	0	0	0
1	3	23.27	3.72	0.00	23.78	3.63	1.04	CP	1.2	14.6	1.4	1.1	1.2	4.48988	1.36498	0	0	0	0	0	0	0	0	0
1	3	23.78	3.63	1.04	24.32	3.61	1.04	CP	0.5	15.1	1.1	1.0	1.0	1.73199	0.437661	0	0	0	0	0	0	0	0	0
1	3	24.32	3.61	1.04	24.36	3.61	1.04	CP	0.0	15.1	1.0	1.0	1.0	0.120640	0.0289536	0	0	0	0	0	0	0	0	0
1	3	24.36	3.61	1.04	24.96	3.72	1.04	CP	0.6	15.8	1.0	1.0	1.0	1.93118	0.484218	0	0	0	0	0	0	0	0	0
1	3	24.96	3.72	1.04	25.62	3.92	1.04	CP	0.7	16.4	1.0	1.1	1.1	2.38948	0.655837	0	0	0	0	0	0	0	0	0
1	3	25.62	3.92	1.04	26.00	4.18	1.04	CP	0.5	16.9	1.1	1.1	1.1	1.66347	0.478247	0	0	0	0	0	0	0	0	0
1	3	26.00	4.18	1.04	26.57	4.70	1.04	CP	0.8	17.7	1.1	1.3	1.2	2.92823	0.880508	0	0	0	0	0	0	0	0	0
