Tree	Order	Start X	Start Y	Start Z	End X	End Y	End Z	Point Type	Length(µm)	Length To Beginning 	Start Diameter(µm)	End Diameter(µm)	Avg Diameter(µm)	Surface Area(µm²)	Volume(µm³)	Spines	None Spine	Thin Spine	Stubby Spine	Mushroom Spine	Filopodia Spine	Branched Spine	Detached Spine	Other Spine
1	1	5.70	-7.45	1.10	6.73	-7.87	1.10	CP	1.1	1.1	1.1	1.1	1.1	3.87892	1.07640	0	0	0	0	0	0	0	0	0
1	1	6.73	-7.87	1.10	7.76	-8.48	1.10	CP	1.2	2.3	1.1	1.5	1.3	4.92797	1.58744	0	0	0	0	0	0	0	0	0
1	1	7.76	-8.48	1.10	8.79	-8.69	-1.10	CP	2.4	4.7	1.5	1.5	1.5	11.3367	4.19459	0	0	0	0	0	0	0	0	0
1	1	8.79	-8.69	-1.10	9.97	-8.58	-1.86	CP	1.4	6.2	1.5	1.3	1.4	6.05744	2.06512	0	0	0	0	0	0	0	0	0
1	1	9.97	-8.58	-1.86	10.99	-8.78	-2.30	CP	1.1	7.3	1.3	0.8	1.0	3.73606	0.963291	0	0	0	0	0	0	0	0	0
1	1	10.99	-8.78	-2.30	12.00	-8.77	-2.58	CP	1.0	8.3	0.8	0.8	0.8	2.70012	0.553525	0	0	0	0	0	0	0	0	0
1	1	12.00	-8.77	-2.58	12.95	-8.72	-3.02	CP	1.0	9.4	0.8	1.0	0.9	3.06111	0.707383	0	0	0	0	0	0	0	0	0
1	1	12.95	-8.72	-3.02	13.93	-8.27	-4.09	CP	1.5	10.9	1.0	1.1	1.1	5.10838	1.36665	0	0	0	0	0	0	0	0	0
1	1	13.93	-8.27	-4.09	14.71	-8.17	-4.61	CP	0.9	11.8	1.1	1.2	1.2	3.47229	1.01448	0	0	0	0	0	0	0	0	0
1	1	14.71	-8.17	-4.61	15.83	-8.23	-4.63	CP	1.1	13.0	1.2	1.2	1.2	4.33475	1.33294	0	0	0	0	0	0	0	0	0
1	1	15.83	-8.23	-4.63	16.88	-8.25	-4.74	CP	1.1	14.0	1.2	1.0	1.1	3.79545	1.08004	0	0	0	0	0	0	0	0	0
1	1	16.88	-8.25	-4.74	17.70	-8.32	-5.01	CP	0.9	14.9	1.0	1.0	1.0	2.85712	0.749994	0	0	0	0	0	0	0	0	0
1	1	17.70	-8.32	-5.01	18.67	-8.69	-5.50	CP	1.1	16.0	1.0	1.0	1.0	3.78687	0.994053	0	0	0	0	0	0	0	0	0
1	1	18.67	-8.69	-5.50	19.70	-8.90	-5.50	CP	1.1	17.1	1.0	1.0	1.0	3.46753	0.910227	0	0	0	0	0	0	0	0	0
1	1	19.70	-8.90	-5.50	20.73	-9.31	-7.70	CP	2.5	19.5	1.0	1.6	1.3	10.1949	3.36400	0	0	0	0	0	0	0	0	0
1	1	20.73	-9.31	-7.70	21.76	-9.31	-7.70	CP	1.0	20.6	1.6	1.6	1.6	5.08027	1.99401	0	0	0	0	0	0	0	0	0
1	1	21.76	-9.31	-7.70	22.79	-9.10	-7.70	CP	1.1	21.6	1.6	1.0	1.3	4.43249	1.41533	0	0	0	0	0	0	0	0	0
1	1	22.79	-9.10	-7.70	23.82	-9.10	-7.70	CP	1.0	22.7	1.0	1.0	1.0	3.33291	0.858225	0	0	0	0	0	0	0	0	0
1	1	23.82	-9.10	-7.70	24.85	-9.10	-9.90	CP	2.4	25.1	1.0	1.0	1.0	7.86043	2.02406	0	0	0	0	0	0	0	0	0
1	1	24.85	-9.10	-9.90	25.87	-9.10	-9.90	CP	1.0	26.1	1.0	1.0	1.0	3.30056	0.849894	0	0	0	0	0	0	0	0	0
1	1	25.87	-9.10	-9.90	26.90	-9.31	-9.90	CP	1.1	27.2	1.0	1.0	1.0	3.43466	0.892998	0	0	0	0	0	0	0	0	0
1	1	26.90	-9.31	-9.90	27.93	-9.31	-9.90	CP	1.0	28.2	1.0	1.0	1.0	3.39763	0.891879	0	0	0	0	0	0	0	0	0
