Tree	Order	Start X	Start Y	Start Z	End X	End Y	End Z	Point Type	Length(µm)	Length To Beginning 	Start Diameter(µm)	End Diameter(µm)	Avg Diameter(µm)	Surface Area(µm²)	Volume(µm³)	Spines	None Spine	Thin Spine	Stubby Spine	Mushroom Spine	Filopodia Spine	Branched Spine	Detached Spine	Other Spine
1	1	-9.36	5.84	-20.68	-10.33	6.80	-19.60	CP	1.7	1.7	3.9	3.6	3.7	20.4278	18.9747	0	0	0	0	0	0	0	0	0
1	1	-10.33	6.80	-19.60	-10.74	7.49	-17.44	CP	2.3	4.0	3.6	3.2	3.4	24.5698	20.7024	0	0	0	0	0	0	0	0	0
1	1	-10.74	7.49	-17.44	-12.26	9.15	-15.28	CP	3.1	7.2	3.2	3.2	3.2	31.0671	24.6207	0	0	0	0	0	0	0	0	0
1	1	-12.26	9.15	-15.28	-12.81	9.84	-12.04	CP	3.4	10.5	3.2	3.2	3.2	33.4419	26.5027	0	0	0	0	0	0	0	0	0
1	1	-12.81	9.84	-12.04	-13.09	10.11	-10.96	CP	1.1	11.7	3.2	3.2	3.2	11.4319	9.05976	0	0	0	0	0	0	0	0	0
1	1	-13.09	10.11	-10.96	-13.09	10.11	-9.88	CP	1.1	12.8	3.2	3.2	3.2	10.7556	8.52378	0	0	0	0	0	0	0	0	0
1	1	-13.09	10.11	-9.88	-13.36	10.67	-8.80	CP	1.2	14.0	3.2	3.2	3.2	12.4103	9.83513	0	0	0	0	0	0	0	0	0
1	1	-13.36	10.67	-8.80	-13.78	10.94	-7.72	CP	1.2	15.2	3.2	3.2	3.2	11.8494	9.39062	0	0	0	0	0	0	0	0	0
1	1	-13.78	10.94	-7.72	-13.78	10.94	-5.56	CP	2.2	17.3	3.2	3.2	3.2	21.5111	17.0476	0	0	0	0	0	0	0	0	0
1	1	-13.78	10.94	-5.56	-14.19	11.22	-5.56	CP	0.5	17.8	3.2	3.2	3.2	4.94445	3.91848	0	0	0	0	0	0	0	0	0
1	1	-14.19	11.22	-5.56	-15.02	11.22	-5.56	CP	0.8	18.7	3.2	3.2	3.2	8.26585	6.55069	0	0	0	0	0	0	0	0	0
1	1	-15.02	11.22	-5.56	-15.43	11.22	-5.56	CP	0.4	19.1	3.2	3.2	3.2	4.08313	3.23588	0	0	0	0	0	0	0	0	0
1	1	-15.43	11.22	-5.56	-15.71	11.22	-5.56	BP	0.3	19.4	3.2	3.2	3.2	2.78848	2.20987	0	0	0	0	0	0	0	0	0
1	2	-15.71	11.22	-5.56	-16.67	13.70	-5.56	CP	2.7	22.0	3.2	2.5	2.8	23.7993	16.7514	0	0	0	0	0	0	0	0	0
1	2	-16.67	13.70	-5.56	-17.09	14.94	-5.56	CP	1.3	23.3	2.5	2.5	2.5	10.2002	6.32410	0	0	0	0	0	0	0	0	0
1	2	-17.09	14.94	-5.56	-17.64	15.77	-3.40	CP	2.4	25.7	2.5	2.5	2.5	18.5308	11.4891	0	0	0	0	0	0	0	0	0
1	2	-17.64	15.77	-3.40	-19.30	17.15	-3.40	CP	2.2	27.9	2.5	1.8	2.1	14.6628	7.79547	0	0	0	0	0	0	0	0	0
1	2	-19.30	17.15	-3.40	-19.71	17.01	-2.32	EP	1.2	29.0	1.8	1.8	1.8	6.54377	2.92834	0	0	0	0	0	0	0	0	0
1	2	-15.71	11.22	-5.56	-16.67	10.39	-5.56	CP	1.3	20.6	3.2	1.7	2.4	11.2033	6.00244	0	0	0	0	0	0	0	0	0
