Tree	Order	Start X	Start Y	Start Z	End X	End Y	End Z	Point Type	Length(µm)	Length To Beginning 	Start Diameter(µm)	End Diameter(µm)	Avg Diameter(µm)	Surface Area(µm²)	Volume(µm³)	Spines	None Spine	Thin Spine	Stubby Spine	Mushroom Spine	Filopodia Spine	Branched Spine	Detached Spine	Other Spine
1	1	8.91	-0.27	-1.68	8.81	0.61	-1.68	CP	0.9	0.9	0.6	0.6	0.6	1.72508	0.267388	0	0	0	0	0	0	0	0	0
1	1	8.81	0.61	-1.68	9.21	1.97	-1.68	CP	1.4	2.3	0.6	0.6	0.6	2.76119	0.427985	0	0	0	0	0	0	0	0	0
1	1	9.21	1.97	-1.68	9.75	3.59	-0.87	CP	1.9	4.2	0.6	0.6	0.6	3.68132	0.570604	0	0	0	0	0	0	0	0	0
1	1	9.75	3.59	-0.87	9.91	5.33	-0.87	CP	1.7	5.9	0.6	0.6	0.6	3.40345	0.527535	0	0	0	0	0	0	0	0	0
1	1	9.91	5.33	-0.87	9.93	5.95	-0.87	CP	0.6	6.6	0.6	0.6	0.6	1.20826	0.187280	0	0	0	0	0	0	0	0	0
1	1	9.93	5.95	-0.87	9.34	7.59	-0.87	CP	1.7	8.3	0.6	0.6	0.6	3.39480	0.526194	0	0	0	0	0	0	0	0	0
1	1	9.34	7.59	-0.87	9.38	9.34	-0.87	CP	1.8	10.1	0.6	0.6	0.6	3.40952	0.528475	0	0	0	0	0	0	0	0	0
1	1	9.38	9.34	-0.87	9.30	11.59	-0.87	CP	2.3	12.3	0.6	0.6	0.6	4.38529	0.679720	0	0	0	0	0	0	0	0	0
1	1	9.30	11.59	-0.87	9.71	12.96	-0.87	CP	1.4	13.7	0.6	0.6	0.6	2.78540	0.431738	0	0	0	0	0	0	0	0	0
1	1	9.71	12.96	-0.87	9.97	13.33	-0.87	CP	0.5	14.2	0.6	0.6	0.6	0.880822	0.136527	0	0	0	0	0	0	0	0	0
