Tree	Order	Start X	Start Y	Start Z	End X	End Y	End Z	Point Type	Length(µm)	Length To Beginning 	Start Diameter(µm)	End Diameter(µm)	Avg Diameter(µm)	Surface Area(µm²)	Volume(µm³)	Spines	None Spine	Thin Spine	Stubby Spine	Mushroom Spine	Filopodia Spine	Branched Spine	Detached Spine	Other Spine
1	1	15.15	-7.19	8.88	16.80	-8.09	9.15	CP	1.9	1.9	2.9	2.2	2.6	15.5202	9.80151	0	0	0	0	0	0	0	0	0
1	1	16.80	-8.09	9.15	18.55	-7.81	12.12	CP	3.5	5.4	2.2	2.0	2.1	22.8252	11.9865	0	0	0	0	0	0	0	0	0
1	1	18.55	-7.81	12.12	20.09	-7.73	12.12	CP	1.5	6.9	2.0	1.8	1.9	9.29496	4.44518	0	0	0	0	0	0	0	0	0
1	1	20.09	-7.73	12.12	21.54	-7.87	12.39	CP	1.5	8.4	1.8	1.8	1.8	8.47108	3.85434	0	0	0	0	0	0	0	0	0
1	1	21.54	-7.87	12.39	22.62	-8.13	12.66	CP	1.1	9.5	1.8	1.6	1.7	6.23245	2.68964	0	0	0	0	0	0	0	0	0
1	1	22.62	-8.13	12.66	23.62	-8.63	18.06	CP	5.5	15.0	1.6	2.2	1.9	33.2174	15.9923	0	0	0	0	0	0	0	0	0
1	1	23.62	-8.63	18.06	24.97	-8.50	15.90	CP	2.6	17.6	2.2	2.0	2.1	16.8369	8.83930	0	0	0	0	0	0	0	0	0
1	1	24.97	-8.50	15.90	26.66	-7.73	20.76	CP	5.2	22.8	2.0	2.2	2.1	34.3295	18.0313	0	0	0	0	0	0	0	0	0
1	1	26.66	-7.73	20.76	28.37	-7.69	20.76	CP	1.7	24.5	2.2	2.2	2.2	11.7682	6.44308	0	0	0	0	0	0	0	0	0
1	1	28.37	-7.69	20.76	29.54	-7.50	20.22	BP	1.3	25.8	2.2	2.2	2.2	8.96157	4.90646	0	0	0	0	0	0	0	0	0
1	2	29.54	-7.50	20.22	30.88	-6.40	28.04	CP	8.0	33.8	2.2	1.6	1.9	48.2170	23.2289	0	0	0	0	0	0	0	0	0
1	2	30.88	-6.40	28.04	31.56	-5.14	28.04	CP	1.4	35.2	1.6	1.6	1.6	7.37685	3.02451	0	0	0	0	0	0	0	0	0
1	2	31.56	-5.14	28.04	32.15	-4.33	28.04	CP	1.0	36.2	1.6	1.5	1.5	4.89933	1.89300	0	0	0	0	0	0	0	0	0
1	2	32.15	-4.33	28.04	32.68	-3.74	26.15	CP	2.0	38.3	1.5	1.3	1.4	8.83020	3.02578	0	0	0	0	0	0	0	0	0
1	2	32.68	-3.74	26.15	33.62	-3.02	26.15	CP	1.2	39.5	1.3	1.1	1.2	4.42217	1.30867	0	0	0	0	0	0	0	0	0
1	2	33.62	-3.02	26.15	34.48	-2.52	26.15	CP	1.0	40.5	1.1	1.1	1.1	3.40648	0.928267	0	0	0	0	0	0	0	0	0
1	2	34.48	-2.52	26.15	34.84	-1.90	29.39	CP	3.3	43.8	1.1	1.3	1.2	12.3587	3.66759	0	0	0	0	0	0	0	0	0
1	2	34.84	-1.90	29.39	35.64	-0.90	29.39	CP	1.3	45.1	1.3	1.1	1.2	4.78059	1.41540	0	0	0	0	0	0	0	0	0
1	2	35.64	-0.90	29.39	36.37	-0.37	33.98	CP	4.7	49.8	1.1	1.1	1.1	16.0184	4.36501	0	0	0	0	0	0	0	0	0
1	2	36.37	-0.37	33.98	37.18	-0.10	33.98	CP	0.9	50.6	1.1	1.1	1.1	2.92375	0.796723	0	0	0	0	0	0	0	0	0
1	2	37.18	-0.10	33.98	37.71	0.46	32.09	CP	2.0	52.6	1.1	1.1	1.1	6.98984	1.90473	0	0	0	0	0	0	0	0	0
1	2	37.71	0.46	32.09	38.05	1.11	32.09	CP	0.7	53.4	1.1	1.1	1.1	2.51193	0.684502	0	0	0	0	0	0	0	0	0
1	2	38.05	1.11	32.09	38.75	1.66	33.71	CP	1.8	55.2	1.1	1.1	1.1	6.32983	1.72488	0	0	0	0	0	0	0	0	0
1	2	38.75	1.66	33.71	39.51	2.41	33.71	CP	1.1	56.3	1.1	1.1	1.1	3.65635	0.996355	0	0	0	0	0	0	0	0	0
1	2	39.51	2.41	33.71	40.15	3.45	33.44	CP	1.3	57.5	1.1	1.1	1.1	4.28262	1.16701	0	0	0	0	0	0	0	0	0
1	2	40.15	3.45	33.44	40.40	4.36	33.17	CP	1.0	58.5	1.1	1.1	1.1	3.36126	0.915944	0	0	0	0	0	0	0	0	0
1	2	40.40	4.36	33.17	40.84	5.44	33.17	CP	1.2	59.7	1.1	1.3	1.2	4.35586	1.28892	0	0	0	0	0	0	0	0	0
1	2	40.84	5.44	33.17	41.55	6.70	34.52	CP	2.0	61.7	1.3	1.1	1.2	7.37378	2.18664	0	0	0	0	0	0	0	0	0
1	2	41.55	6.70	34.52	42.07	7.28	34.52	CP	0.8	62.5	1.1	1.3	1.2	2.92144	0.860952	0	0	0	0	0	0	0	0	0
1	2	42.07	7.28	34.52	42.89	8.26	38.57	CP	4.2	66.7	1.3	1.1	1.2	15.8139	4.69372	0	0	0	0	0	0	0	0	0
1	2	42.89	8.26	38.57	43.64	9.04	38.84	CP	1.1	67.8	1.1	1.1	1.1	3.81902	1.04068	0	0	0	0	0	0	0	0	0
1	2	43.64	9.04	38.84	44.40	9.80	38.84	CP	1.1	68.9	1.1	1.1	1.1	3.68049	1.00293	0	0	0	0	0	0	0	0	0
1	2	44.40	9.80	38.84	44.86	10.88	42.35	CP	3.7	72.6	1.1	0.9	1.0	11.6308	2.91468	0	0	0	0	0	0	0	0	0
1	2	44.86	10.88	42.35	45.16	11.30	42.35	CP	0.5	73.1	0.9	0.9	0.9	1.47556	0.335691	0	0	0	0	0	0	0	0	0
1	2	45.16	11.30	42.35	45.54	12.14	42.35	CP	0.9	74.0	0.9	0.6	0.7	2.15430	0.393694	0	0	0	0	0	0	0	0	0
1	2	45.54	12.14	42.35	45.98	12.97	42.35	CP	0.9	75.0	0.6	0.6	0.6	1.62319	0.223189	0	0	0	0	0	0	0	0	0
1	2	45.98	12.97	42.35	46.92	13.65	41.27	CP	1.6	76.6	0.6	0.4	0.5	2.26978	0.261470	0	0	0	0	0	0	0	0	0
1	2	46.92	13.65	41.27	47.30	14.25	42.62	CP	1.5	78.1	0.4	0.6	0.5	2.18469	0.251633	0	0	0	0	0	0	0	0	0
1	2	47.30	14.25	42.62	48.02	14.77	42.62	BP	0.9	79.0	0.6	0.7	0.6	1.79487	0.287599	0	0	0	0	0	0	0	0	0
1	3	48.02	14.77	42.62	46.75	15.64	42.62	CP	1.5	80.5	0.7	0.6	0.6	3.10046	0.498493	0	0	0	0	0	0	0	0	0
1	3	46.75	15.64	42.62	45.87	17.11	42.62	CP	1.7	82.2	0.6	0.4	0.5	2.45276	0.282621	0	0	0	0	0	0	0	0	0
1	3	45.87	17.11	42.62	45.36	17.98	46.13	CP	3.7	85.9	0.4	0.4	0.4	4.13032	0.371728	0	0	0	0	0	0	0	0	0
1	3	45.36	17.98	46.13	44.43	18.73	50.99	CP	5.0	90.9	0.4	0.2	0.3	4.24582	0.297159	0	0	0	0	0	0	0	0	0
