Tree	Order	Start X	Start Y	Start Z	End X	End Y	End Z	Point Type	Length(µm)	Length To Beginning 	Start Diameter(µm)	End Diameter(µm)	Avg Diameter(µm)	Surface Area(µm²)	Volume(µm³)	Spines	None Spine	Thin Spine	Stubby Spine	Mushroom Spine	Filopodia Spine	Branched Spine	Detached Spine	Other Spine
1	1	-7.66	10.89	-5.50	-7.86	11.12	-5.50	CP	0.3	0.3	2.7	2.7	2.7	2.61409	1.78411	0	0	0	0	0	0	0	0	0
1	1	-7.86	11.12	-5.50	-8.63	12.36	-5.50	CP	1.5	1.8	2.7	2.0	2.4	11.1934	6.48866	0	0	0	0	0	0	0	0	0
1	1	-8.63	12.36	-5.50	-9.18	13.80	-5.50	CP	1.5	3.3	2.0	1.6	1.8	8.90124	4.04607	0	0	0	0	0	0	0	0	0
1	1	-9.18	13.80	-5.50	-10.14	15.27	-5.34	CP	1.8	5.1	1.6	1.6	1.6	9.08325	3.72413	0	0	0	0	0	0	0	0	0
1	1	-10.14	15.27	-5.34	-10.73	16.52	-5.17	CP	1.4	6.5	1.6	1.3	1.5	6.44088	2.34334	0	0	0	0	0	0	0	0	0
1	1	-10.73	16.52	-5.17	-12.08	17.27	-5.12	CP	1.5	8.0	1.3	1.3	1.3	6.21343	1.98830	0	0	0	0	0	0	0	0	0
1	1	-12.08	17.27	-5.12	-13.22	18.23	-4.96	CP	1.5	9.5	1.3	1.3	1.3	6.02757	1.92882	0	0	0	0	0	0	0	0	0
1	1	-13.22	18.23	-4.96	-14.38	19.47	-4.96	CP	1.7	11.2	1.3	1.1	1.2	6.33117	1.87669	0	0	0	0	0	0	0	0	0
1	1	-14.38	19.47	-4.96	-15.89	20.95	-4.96	CP	2.1	13.3	1.1	1.3	1.2	7.87924	2.33687	0	0	0	0	0	0	0	0	0
1	1	-15.89	20.95	-4.96	-16.66	21.20	-4.68	BP	0.9	14.2	1.3	1.3	1.3	3.44468	1.10230	0	0	0	0	0	0	0	0	0
1	2	-16.66	21.20	-4.68	-17.69	23.25	-2.40	CP	3.2	17.4	1.3	1.5	1.4	13.9265	4.77484	0	0	0	0	0	0	0	0	0
1	2	-17.69	23.25	-2.40	-18.26	23.25	-0.66	CP	1.8	19.2	1.5	1.3	1.4	7.89003	2.70296	0	0	0	0	0	0	0	0	0
1	2	-18.26	23.25	-0.66	-18.26	23.25	-0.23	CP	0.4	19.7	1.3	1.1	1.2	1.63940	0.475253	0	0	0	0	0	0	0	0	0
1	2	-18.26	23.25	-0.23	-18.21	24.54	-0.23	CP	1.3	21.0	1.1	1.3	1.2	4.81900	1.42683	0	0	0	0	0	0	0	0	0
