Tree	Order	Start X	Start Y	Start Z	End X	End Y	End Z	Point Type	Length(µm)	Length To Beginning 	Start Diameter(µm)	End Diameter(µm)	Avg Diameter(µm)	Surface Area(µm²)	Volume(µm³)	Spines	None Spine	Thin Spine	Stubby Spine	Mushroom Spine	Filopodia Spine	Branched Spine	Detached Spine	Other Spine
1	1	-8.82	5.35	-4.00	-10.20	7.25	-4.00	CP	2.3	2.3	5.6	5.6	5.6	41.2393	57.6319	0	0	0	0	0	0	0	0	0
1	1	-10.20	7.25	-4.00	-11.39	7.65	-6.54	CP	2.8	5.2	5.6	4.6	5.1	45.8825	57.4013	0	0	0	0	0	0	0	0	0
1	1	-11.39	7.65	-6.54	-13.78	8.44	-5.90	CP	2.6	7.8	4.6	3.9	4.2	34.8421	36.7376	0	0	0	0	0	0	0	0	0
1	1	-13.78	8.44	-5.90	-15.35	9.10	-6.54	CP	1.8	9.6	3.9	3.3	3.6	20.9891	18.7710	0	0	0	0	0	0	0	0	0
1	1	-15.35	9.10	-6.54	-17.48	10.28	-6.54	CP	2.4	12.0	3.3	2.7	3.0	23.1347	17.2734	0	0	0	0	0	0	0	0	0
1	1	-17.48	10.28	-6.54	-19.70	12.10	-6.54	CP	2.9	14.9	2.7	2.7	2.7	24.2598	16.3147	0	0	0	0	0	0	0	0	0
1	1	-19.70	12.10	-6.54	-21.47	12.81	-6.54	CP	1.9	16.8	2.7	2.7	2.7	16.1166	10.8384	0	0	0	0	0	0	0	0	0
1	1	-21.47	12.81	-6.54	-21.68	12.84	-6.54	CP	0.2	17.0	2.7	2.7	2.7	1.79271	1.20560	0	0	0	0	0	0	0	0	0
1	1	-21.68	12.84	-6.54	-23.29	13.30	-6.54	CP	1.7	18.7	2.7	2.7	2.7	14.1504	9.51613	0	0	0	0	0	0	0	0	0
1	1	-23.29	13.30	-6.54	-23.48	13.33	-6.54	CP	0.2	18.9	2.7	2.7	2.7	1.62555	1.09318	0	0	0	0	0	0	0	0	0
1	1	-23.48	13.33	-6.54	-26.07	14.16	-6.54	CP	2.7	21.6	2.7	2.7	2.7	22.9842	15.4569	0	0	0	0	0	0	0	0	0
1	1	-26.07	14.16	-6.54	-27.31	14.36	-6.54	CP	1.3	22.9	2.7	2.7	2.7	10.6145	7.13827	0	0	0	0	0	0	0	0	0
1	1	-27.31	14.36	-6.54	-27.68	14.62	-6.54	CP	0.5	23.3	2.7	2.7	2.7	3.82164	2.57005	0	0	0	0	0	0	0	0	0
1	1	-27.68	14.62	-6.54	-29.93	14.98	-6.54	CP	2.3	25.6	2.7	2.7	2.7	19.2563	12.9499	0	0	0	0	0	0	0	0	0
1	1	-29.93	14.98	-6.54	-30.34	15.04	-6.54	CP	0.4	26.0	2.7	2.7	2.7	3.50177	2.35494	0	0	0	0	0	0	0	0	0
1	1	-30.34	15.04	-6.54	-32.05	16.15	-6.54	CP	2.0	28.0	2.7	2.7	2.7	17.2286	11.5862	0	0	0	0	0	0	0	0	0
1	1	-32.05	16.15	-6.54	-33.28	16.35	-6.54	CP	1.2	29.3	2.7	2.7	2.7	10.5311	7.08217	0	0	0	0	0	0	0	0	0
1	1	-33.28	16.35	-6.54	-35.16	17.70	-6.54	CP	2.3	31.6	2.7	1.9	2.3	16.8058	9.51263	0	0	0	0	0	0	0	0	0
1	1	-35.16	17.70	-6.54	-36.70	18.57	-6.54	CP	1.8	33.4	1.9	1.9	1.9	10.3355	4.80600	0	0	0	0	0	0	0	0	0
1	1	-36.70	18.57	-6.54	-36.84	19.01	-6.54	CP	0.5	33.8	1.9	1.9	1.9	2.69809	1.25461	0	0	0	0	0	0	0	0	0
1	1	-36.84	19.01	-6.54	-37.59	19.55	-6.54	CP	0.9	34.8	1.9	2.3	2.1	6.16320	3.12084	0	0	0	0	0	0	0	0	0
1	1	-37.59	19.55	-6.54	-38.11	20.26	-6.54	CP	0.9	35.6	2.3	2.3	2.3	6.30371	3.59311	0	0	0	0	0	0	0	0	0
1	1	-38.11	20.26	-6.54	-38.32	20.29	-6.54	CP	0.2	35.9	2.3	2.3	2.3	1.51946	0.866092	0	0	0	0	0	0	0	0	0
1	1	-38.32	20.29	-6.54	-40.84	21.53	-6.54	CP	2.8	38.7	2.3	2.3	2.3	20.1172	11.4668	0	0	0	0	0	0	0	0	0
1	1	-40.84	21.53	-6.54	-42.92	22.91	-6.54	CP	2.5	41.2	2.3	2.3	2.3	17.8795	10.1913	0	0	0	0	0	0	0	0	0
1	1	-42.92	22.91	-6.54	-43.31	23.18	-6.54	CP	0.5	41.6	2.3	2.3	2.3	3.39765	1.93666	0	0	0	0	0	0	0	0	0
1	1	-43.31	23.18	-6.54	-44.53	23.37	-6.54	CP	1.2	42.9	2.3	2.3	2.3	8.84398	5.04107	0	0	0	0	0	0	0	0	0
1	1	-44.53	23.37	-6.54	-47.65	26.17	-6.54	CP	4.2	47.1	2.3	1.9	2.1	27.2964	14.1566	0	0	0	0	0	0	0	0	0
1	1	-47.65	26.17	-6.54	-49.71	27.76	-6.54	CP	2.6	49.7	1.9	1.9	1.9	15.2059	7.07073	0	0	0	0	0	0	0	0	0
1	1	-49.71	27.76	-6.54	-51.22	30.09	-7.17	CP	2.8	52.5	1.9	1.9	1.9	16.6366	7.73600	0	0	0	0	0	0	0	0	0
1	1	-51.22	30.09	-7.17	-53.12	32.69	-7.81	CP	3.3	55.8	1.9	1.9	1.9	19.1851	8.92107	0	0	0	0	0	0	0	0	0
1	1	-53.12	32.69	-7.81	-55.55	34.55	-7.81	CP	3.1	58.9	1.9	1.9	1.9	17.8816	8.31492	0	0	0	0	0	0	0	0	0
1	1	-55.55	34.55	-7.81	-56.69	36.61	-7.81	CP	2.4	61.2	1.9	1.9	1.9	13.7576	6.39729	0	0	0	0	0	0	0	0	0
