Tree	Order	Start X	Start Y	Start Z	End X	End Y	End Z	Point Type	Length(µm)	Length To Beginning 	Start Diameter(µm)	End Diameter(µm)	Avg Diameter(µm)	Surface Area(µm²)	Volume(µm³)	Spines	None Spine	Thin Spine	Stubby Spine	Mushroom Spine	Filopodia Spine	Branched Spine	Detached Spine	Other Spine
1	1	-12.40	9.92	-20.00	-14.64	11.27	-20.00	CP	2.6	2.6	3.0	3.0	3.0	24.8135	18.7342	0	0	0	0	0	0	0	0	0
1	1	-14.64	11.27	-20.00	-16.51	11.88	-24.60	BP	5.0	7.6	3.0	3.0	3.0	47.4656	35.8365	0	0	0	0	0	0	0	0	0
1	2	-16.51	11.88	-24.60	-19.00	12.43	-24.90	CP	2.6	10.2	3.0	1.2	2.1	18.0891	9.57122	0	0	0	0	0	0	0	0	0
1	2	-19.00	12.43	-24.90	-21.10	12.23	-26.20	CP	2.5	12.7	1.2	1.2	1.2	9.41932	2.84935	0	0	0	0	0	0	0	0	0
1	2	-21.10	12.23	-26.20	-23.54	12.40	-27.30	CP	2.7	15.3	1.2	0.9	1.1	8.94487	2.38249	0	0	0	0	0	0	0	0	0
1	2	-23.54	12.40	-27.30	-25.17	13.41	-28.55	CP	2.3	17.6	0.9	0.9	0.9	6.54389	1.48874	0	0	0	0	0	0	0	0	0
1	2	-25.17	13.41	-28.55	-27.04	14.04	-29.50	CP	2.2	19.8	0.9	0.9	0.9	6.26101	1.42438	0	0	0	0	0	0	0	0	0
1	2	-27.04	14.04	-29.50	-28.86	14.23	-31.10	CP	2.4	22.3	0.9	0.9	0.9	6.94912	1.58093	0	0	0	0	0	0	0	0	0
1	2	-28.86	14.23	-31.10	-30.44	14.89	-32.45	CP	2.2	24.4	0.9	0.6	0.8	5.18494	0.989909	0	0	0	0	0	0	0	0	0
1	2	-30.44	14.89	-32.45	-31.68	15.14	-32.85	CP	1.3	25.8	0.6	0.6	0.6	2.50075	0.375112	0	0	0	0	0	0	0	0	0
1	2	-31.68	15.14	-32.85	-32.93	15.42	-34.35	CP	2.0	27.7	0.6	0.6	0.6	3.71814	0.557722	0	0	0	0	0	0	0	0	0
1	2	-32.93	15.42	-34.35	-35.03	15.24	-34.75	CP	2.1	29.9	0.6	0.9	0.8	5.10175	0.973946	0	0	0	0	0	0	0	0	0
1	2	-35.03	15.24	-34.75	-36.83	15.07	-35.60	CP	2.0	31.9	0.9	0.9	0.9	5.71156	1.29938	0	0	0	0	0	0	0	0	0
1	2	-36.83	15.07	-35.60	-38.68	15.29	-36.60	CP	2.1	34.0	0.9	0.9	0.9	6.04489	1.37521	0	0	0	0	0	0	0	0	0
1	2	-38.68	15.29	-36.60	-40.59	16.29	-37.65	CP	2.4	36.4	0.9	0.6	0.8	5.69979	1.08868	0	0	0	0	0	0	0	0	0
1	2	-40.59	16.29	-37.65	-42.72	16.47	-38.30	CP	2.2	38.6	0.6	0.9	0.8	5.31212	1.01431	0	0	0	0	0	0	0	0	0
1	2	-42.72	16.47	-38.30	-44.25	16.72	-39.90	CP	2.2	40.9	0.9	0.9	0.9	6.36914	1.44898	0	0	0	0	0	0	0	0	0
1	2	-44.25	16.72	-39.90	-46.41	16.92	-40.10	CP	2.2	43.0	0.9	0.9	0.9	6.22783	1.41683	0	0	0	0	0	0	0	0	0
1	2	-46.41	16.92	-40.10	-48.86	17.08	-41.25	CP	2.7	45.7	0.9	0.9	0.9	7.75091	1.76333	0	0	0	0	0	0	0	0	0
1	2	-48.86	17.08	-41.25	-51.02	17.67	-42.35	CP	2.5	48.2	0.9	1.2	1.1	8.32269	2.21623	0	0	0	0	0	0	0	0	0
1	2	-51.02	17.67	-42.35	-53.21	18.25	-43.25	CP	2.4	50.7	1.2	1.2	1.2	9.26659	2.80314	0	0	0	0	0	0	0	0	0
1	2	-53.21	18.25	-43.25	-55.95	18.38	-44.35	CP	3.0	53.6	1.2	0.9	1.1	9.85448	2.62549	0	0	0	0	0	0	0	0	0
1	2	-55.95	18.38	-44.35	-59.06	19.26	-45.35	CP	3.4	57.0	0.9	0.9	0.9	9.67225	2.20044	0	0	0	0	0	0	0	0	0
1	2	-59.06	19.26	-45.35	-62.46	20.42	-46.30	CP	3.7	60.7	0.9	0.9	0.9	10.6233	2.41679	0	0	0	0	0	0	0	0	0
1	2	-62.46	20.42	-46.30	-64.72	21.77	-47.25	CP	2.8	63.5	0.9	0.9	0.9	8.00101	1.82023	0	0	0	0	0	0	0	0	0
1	2	-64.72	21.77	-47.25	-67.83	22.67	-48.40	CP	3.4	67.0	0.9	1.2	1.1	11.4524	3.05223	0	0	0	0	0	0	0	0	0
1	2	-67.83	22.67	-48.40	-70.33	23.59	-49.50	CP	2.9	69.8	1.2	1.2	1.2	10.9557	3.31411	0	0	0	0	0	0	0	0	0
