Tree	Order	Start X	Start Y	Start Z	End X	End Y	End Z	Point Type	Length(µm)	Length To Beginning 	Start Diameter(µm)	End Diameter(µm)	Avg Diameter(µm)	Surface Area(µm²)	Volume(µm³)	Spines	None Spine	Thin Spine	Stubby Spine	Mushroom Spine	Filopodia Spine	Branched Spine	Detached Spine	Other Spine
1	1	13.75	-7.29	16.75	14.11	-7.73	16.75	CP	0.6	0.6	1.6	1.3	1.4	2.61612	0.891505	0	0	0	0	0	0	0	0	0
1	1	14.11	-7.73	16.75	15.15	-8.36	16.75	CP	1.2	1.8	1.3	1.3	1.3	4.77497	1.49218	0	0	0	0	0	0	0	0	0
1	1	15.15	-8.36	16.75	15.91	-9.95	16.75	CP	1.8	3.5	1.3	1.3	1.3	6.92054	2.16267	0	0	0	0	0	0	0	0	0
1	1	15.91	-9.95	16.75	16.82	-11.29	17.79	CP	1.9	5.5	1.3	1.3	1.3	7.55913	2.36223	0	0	0	0	0	0	0	0	0
1	1	16.82	-11.29	17.79	18.24	-12.83	19.71	CP	2.8	8.3	1.3	1.3	1.3	11.1587	3.48710	0	0	0	0	0	0	0	0	0
1	1	18.24	-12.83	19.71	19.96	-13.65	21.62	CP	2.7	11.0	1.3	1.3	1.3	10.5948	3.31088	0	0	0	0	0	0	0	0	0
1	1	19.96	-13.65	21.62	19.96	-13.65	21.64	CP	0.0	11.0	1.3	1.3	1.3	0.0785341	0.0245419	0	0	0	0	0	0	0	0	0
1	1	19.96	-13.65	21.64	21.36	-14.74	24.84	CP	3.7	14.7	1.3	1.1	1.2	13.5095	3.97296	0	0	0	0	0	0	0	0	0
1	1	21.36	-14.74	24.84	22.25	-15.63	27.04	CP	2.5	17.2	1.1	1.1	1.1	8.75895	2.40871	0	0	0	0	0	0	0	0	0
1	1	22.25	-15.63	27.04	22.25	-15.63	27.05	CP	0.0	17.2	1.1	1.1	1.1	0.0345517	0.00950172	0	0	0	0	0	0	0	0	0
1	1	22.25	-15.63	27.05	23.17	-16.73	27.04	CP	1.4	18.7	1.1	1.3	1.2	5.30084	1.55711	0	0	0	0	0	0	0	0	0
1	1	23.17	-16.73	27.04	24.89	-17.55	29.99	CP	3.5	22.2	1.3	1.3	1.3	13.7911	4.30972	0	0	0	0	0	0	0	0	0
1	1	24.89	-17.55	29.99	24.89	-17.55	29.98	CP	0.0	22.2	1.3	1.3	1.3	0.0392708	0.0122721	0	0	0	0	0	0	0	0	0
1	1	24.89	-17.55	29.98	26.79	-18.73	29.98	CP	2.2	24.4	1.3	1.3	1.3	8.78313	2.74473	0	0	0	0	0	0	0	0	0
1	1	26.79	-18.73	29.98	29.26	-20.22	30.09	CP	2.9	27.3	1.3	1.3	1.3	11.3361	3.54253	0	0	0	0	0	0	0	0	0
1	1	29.26	-20.22	30.09	31.55	-20.33	36.12	CP	6.5	33.8	1.3	1.3	1.3	25.3335	7.91673	0	0	0	0	0	0	0	0	0
1	1	31.55	-20.33	36.12	32.88	-21.40	38.13	CP	2.6	36.4	1.3	1.1	1.2	9.73818	2.86332	0	0	0	0	0	0	0	0	0
1	1	32.88	-21.40	38.13	34.34	-21.03	38.13	CP	1.5	37.9	1.1	1.1	1.1	5.20489	1.43134	0	0	0	0	0	0	0	0	0
1	1	34.34	-21.03	38.13	36.55	-20.91	39.71	CP	2.7	40.6	1.1	1.1	1.1	9.39742	2.58429	0	0	0	0	0	0	0	0	0
1	1	36.55	-20.91	39.71	37.95	-21.04	42.32	CP	3.0	43.6	1.1	1.1	1.1	10.2450	2.81738	0	0	0	0	0	0	0	0	0
