Tree	Order	Start X	Start Y	Start Z	End X	End Y	End Z	Point Type	Length(µm)	Length To Beginning 	Start Diameter(µm)	End Diameter(µm)	Avg Diameter(µm)	Surface Area(µm²)	Volume(µm³)	Spines	None Spine	Thin Spine	Stubby Spine	Mushroom Spine	Filopodia Spine	Branched Spine	Detached Spine	Other Spine
1	1	13.54	6.30	-5.93	14.90	7.33	-6.12	CP	1.7	1.7	3.9	3.9	3.9	20.9239	20.2962	0	0	0	0	0	0	0	0	0
1	1	14.90	7.33	-6.12	15.93	7.54	-6.12	CP	1.1	2.8	3.9	4.0	3.9	13.0327	12.8173	0	0	0	0	0	0	0	0	0
1	1	15.93	7.54	-6.12	16.95	8.15	-6.12	CP	1.2	4.0	4.0	4.0	4.0	14.9350	14.9350	0	0	0	0	0	0	0	0	0
1	1	16.95	8.15	-6.12	18.19	8.36	-6.12	CP	1.3	5.2	4.0	3.8	3.9	15.4282	14.9509	0	0	0	0	0	0	0	0	0
1	1	18.19	8.36	-6.12	19.22	8.77	-6.12	CP	1.1	6.3	3.8	3.6	3.7	12.8811	11.8260	0	0	0	0	0	0	0	0	0
1	1	19.22	8.77	-6.12	20.25	9.39	-6.12	CP	1.2	7.5	3.6	2.9	3.2	12.7344	9.89165	0	0	0	0	0	0	0	0	0
1	1	20.25	9.39	-6.12	21.28	9.80	-7.65	CP	1.9	9.4	2.9	2.9	2.9	17.0357	12.2231	0	0	0	0	0	0	0	0	0
1	1	21.28	9.80	-7.65	22.31	10.42	-7.65	CP	1.2	10.6	2.9	2.7	2.8	10.5134	7.27385	0	0	0	0	0	0	0	0	0
1	1	22.31	10.42	-7.65	23.33	11.04	-7.65	CP	1.2	11.8	2.7	2.7	2.7	10.0499	6.73343	0	0	0	0	0	0	0	0	0
1	1	23.33	11.04	-7.65	24.36	11.65	-7.65	CP	1.2	13.0	2.7	2.7	2.7	10.0788	6.75278	0	0	0	0	0	0	0	0	0
1	1	24.36	11.65	-7.65	25.39	12.27	-7.65	CP	1.2	14.2	2.7	2.7	2.7	10.1219	6.78170	0	0	0	0	0	0	0	0	0
1	1	25.39	12.27	-7.65	26.40	12.69	-7.87	CP	1.1	15.3	2.7	3.0	2.8	9.98555	6.99963	0	0	0	0	0	0	0	0	0
1	1	26.40	12.69	-7.87	27.23	13.06	-7.70	CP	0.9	16.2	3.0	3.0	3.0	8.62608	6.40486	0	0	0	0	0	0	0	0	0
1	1	27.23	13.06	-7.70	28.27	13.51	-7.65	CP	1.1	17.4	3.0	3.0	3.0	10.5835	7.85823	0	0	0	0	0	0	0	0	0
1	1	28.27	13.51	-7.65	29.30	13.92	-7.65	CP	1.1	18.5	3.0	3.1	3.1	10.6711	8.12830	0	0	0	0	0	0	0	0	0
1	1	29.30	13.92	-7.65	30.33	14.74	-7.65	CP	1.3	19.8	3.1	3.3	3.2	13.2262	10.5563	0	0	0	0	0	0	0	0	0
1	1	30.33	14.74	-7.65	31.36	14.95	-7.65	CP	1.1	20.9	3.3	3.3	3.3	10.7328	8.72043	0	0	0	0	0	0	0	0	0
1	1	31.36	14.95	-7.65	32.39	15.36	-7.65	BP	1.1	22.0	3.3	3.3	3.3	11.3190	9.19670	0	0	0	0	0	0	0	0	0
1	2	32.39	15.36	-7.65	34.04	14.74	-6.12	CP	2.3	24.3	3.3	1.8	2.5	19.2813	11.8423	0	0	0	0	0	0	0	0	0
1	2	34.04	14.74	-6.12	34.86	14.95	-6.12	CP	0.8	25.1	1.8	1.0	1.4	4.03983	1.32326	0	0	0	0	0	0	0	0	0
1	2	34.86	14.95	-6.12	35.89	14.95	-6.12	CP	1.0	26.2	1.0	1.4	1.2	4.07464	1.24518	0	0	0	0	0	0	0	0	0
1	2	35.89	14.95	-6.12	36.92	15.56	-6.12	CP	1.2	27.4	1.4	1.4	1.4	5.41546	1.94957	0	0	0	0	0	0	0	0	0
1	2	36.92	15.56	-6.12	37.70	16.17	-6.12	CP	1.0	28.4	1.4	1.4	1.4	4.35870	1.52472	0	0	0	0	0	0	0	0	0
1	2	37.70	16.17	-6.12	38.36	16.80	-6.12	CP	0.9	29.3	1.4	1.2	1.3	3.63333	1.14008	0	0	0	0	0	0	0	0	0
1	2	38.36	16.80	-6.12	39.18	17.21	-6.12	CP	0.9	30.2	1.2	1.2	1.2	3.34100	0.968890	0	0	0	0	0	0	0	0	0
1	2	39.18	17.21	-6.12	39.59	17.62	-6.12	CP	0.6	30.8	1.2	1.4	1.3	2.43611	0.772595	0	0	0	0	0	0	0	0	0
1	2	39.59	17.62	-6.12	40.35	17.89	-7.20	CP	1.3	32.1	1.4	1.6	1.5	6.56232	2.53093	0	0	0	0	0	0	0	0	0
1	2	40.35	17.89	-7.20	41.04	18.45	-7.65	CP	1.0	33.1	1.6	1.4	1.5	4.86159	1.87032	0	0	0	0	0	0	0	0	0
1	2	41.04	18.45	-7.65	41.86	18.86	-7.65	CP	0.9	34.0	1.4	1.2	1.3	3.83426	1.25806	0	0	0	0	0	0	0	0	0
1	2	41.86	18.86	-7.65	42.89	19.47	-7.65	CP	1.2	35.2	1.2	1.2	1.2	4.51288	1.35386	0	0	0	0	0	0	0	0	0
1	2	42.89	19.47	-7.65	43.82	19.78	-8.04	CP	1.1	36.3	1.2	1.2	1.2	3.97739	1.19322	0	0	0	0	0	0	0	0	0
1	2	43.82	19.78	-8.04	44.89	20.07	-7.93	BP	1.1	37.4	1.2	2.0	1.6	5.94983	2.28659	0	0	0	0	0	0	0	0	0
1	3	44.89	20.07	-7.93	47.21	21.74	-7.65	CP	2.9	40.3	2.0	1.1	1.6	14.3246	5.69946	0	0	0	0	0	0	0	0	0
1	3	47.21	21.74	-7.65	48.27	22.08	-7.43	CP	1.1	41.4	1.1	0.9	1.0	3.68900	0.949081	0	0	0	0	0	0	0	0	0
