Tree	Order	Start X	Start Y	Start Z	End X	End Y	End Z	Point Type	Length(µm)	Length To Beginning 	Start Diameter(µm)	End Diameter(µm)	Avg Diameter(µm)	Surface Area(µm²)	Volume(µm³)	Spines	None Spine	Thin Spine	Stubby Spine	Mushroom Spine	Filopodia Spine	Branched Spine	Detached Spine	Other Spine
1	1	6.06	15.07	-15.54	6.20	15.16	-15.53	CP	0.2	0.2	0.4	0.4	0.4	0.230476	0.0253523	0	0	0	0	0	0	0	0	0
1	1	6.20	15.16	-15.53	6.33	15.47	-15.50	CP	0.3	0.5	0.4	0.4	0.4	0.466514	0.0513166	0	0	0	0	0	0	0	0	0
1	1	6.33	15.47	-15.50	6.59	15.76	-16.58	CP	1.1	1.7	0.4	0.4	0.4	1.58700	0.174570	0	0	0	0	0	0	0	0	0
1	1	6.59	15.76	-16.58	6.66	15.91	-16.57	CP	0.2	1.8	0.4	0.4	0.4	0.229228	0.0252151	0	0	0	0	0	0	0	0	0
1	1	6.66	15.91	-16.57	6.59	16.15	-16.54	CP	0.3	2.1	0.4	0.4	0.4	0.348054	0.0382859	0	0	0	0	0	0	0	0	0
1	1	6.59	16.15	-16.54	6.83	16.27	-16.53	CP	0.3	2.3	0.4	0.4	0.4	0.371168	0.0408285	0	0	0	0	0	0	0	0	0
1	1	6.83	16.27	-16.53	6.90	16.56	-16.50	CP	0.3	2.6	0.4	0.4	0.4	0.414459	0.0455904	0	0	0	0	0	0	0	0	0
1	1	6.90	16.56	-16.50	6.79	16.95	-16.46	CP	0.4	3.0	0.4	0.4	0.4	0.562855	0.0619140	0	0	0	0	0	0	0	0	0
1	1	6.79	16.95	-16.46	6.70	17.25	-16.42	CP	0.3	3.4	0.4	0.4	0.4	0.436465	0.0480111	0	0	0	0	0	0	0	0	0
1	1	6.70	17.25	-16.42	6.74	17.60	-17.51	CP	1.1	4.5	0.4	0.5	0.5	1.72845	0.207767	0	0	0	0	0	0	0	0	0
1	1	6.74	17.60	-17.51	6.99	17.79	-18.60	CP	1.1	5.6	0.5	0.5	0.5	1.85307	0.240899	0	0	0	0	0	0	0	0	0
1	1	6.99	17.79	-18.60	7.30	18.32	-19.67	CP	1.2	6.9	0.5	0.5	0.5	2.01533	0.261993	0	0	0	0	0	0	0	0	0
1	1	7.30	18.32	-19.67	7.43	18.63	-19.63	CP	0.3	7.2	0.5	0.5	0.5	0.553025	0.0718933	0	0	0	0	0	0	0	0	0
1	1	7.43	18.63	-19.63	7.63	19.05	-19.59	CP	0.5	7.7	0.5	0.5	0.5	0.762749	0.0991573	0	0	0	0	0	0	0	0	0
1	1	7.63	19.05	-19.59	7.76	19.32	-19.56	CP	0.3	8.0	0.5	0.7	0.6	0.618097	0.0917123	0	0	0	0	0	0	0	0	0
1	1	7.76	19.32	-19.56	7.72	19.66	-19.52	CP	0.3	8.3	0.7	0.7	0.7	0.779634	0.140334	0	0	0	0	0	0	0	0	0
1	1	7.72	19.66	-19.52	7.88	19.94	-20.61	BP	1.1	9.5	0.7	0.7	0.7	2.57117	0.462810	0	0	0	0	0	0	0	0	0
1	2	7.88	19.94	-20.61	8.35	20.19	-20.59	CP	0.5	10.0	0.7	0.5	0.6	1.02285	0.150305	0	0	0	0	0	0	0	0	0
1	2	8.35	20.19	-20.59	8.54	20.29	-20.58	CP	0.2	10.2	0.5	0.5	0.5	0.317372	0.0372912	0	0	0	0	0	0	0	0	0
1	2	8.54	20.29	-20.58	8.72	20.66	-19.42	CP	1.2	11.4	0.5	0.4	0.4	1.60629	0.167461	0	0	0	0	0	0	0	0	0
1	2	8.72	20.66	-19.42	8.89	20.75	-19.41	CP	0.2	11.6	0.4	0.4	0.4	0.217841	0.0196057	0	0	0	0	0	0	0	0	0
1	2	8.89	20.75	-19.41	9.16	21.16	-19.35	CP	0.5	12.1	0.4	0.3	0.3	0.521167	0.0436730	0	0	0	0	0	0	0	0	0
1	2	9.16	21.16	-19.35	9.57	21.60	-19.32	CP	0.6	12.7	0.3	0.3	0.3	0.539613	0.0385129	0	0	0	0	0	0	0	0	0
1	2	9.57	21.60	-19.32	9.91	21.91	-19.28	CP	0.5	13.2	0.3	0.3	0.3	0.377241	0.0245206	0	0	0	0	0	0	0	0	0
1	2	9.91	21.91	-19.28	10.36	22.26	-19.25	CP	0.6	13.8	0.3	0.3	0.3	0.466300	0.0303095	0	0	0	0	0	0	0	0	0
1	2	10.36	22.26	-19.25	10.88	22.51	-19.22	CP	0.6	14.3	0.3	0.3	0.3	0.471918	0.0306747	0	0	0	0	0	0	0	0	0
1	2	10.88	22.51	-19.22	11.52	22.70	-19.20	CP	0.7	15.0	0.3	0.3	0.3	0.545556	0.0354612	0	0	0	0	0	0	0	0	0
1	2	11.52	22.70	-19.20	11.82	22.79	-19.19	CP	0.3	15.3	0.3	0.3	0.3	0.255963	0.0166376	0	0	0	0	0	0	0	0	0
1	2	11.82	22.79	-19.19	12.31	22.72	-19.20	CP	0.5	15.8	0.3	0.3	0.3	0.404386	0.0262851	0	0	0	0	0	0	0	0	0
1	2	12.31	22.72	-19.20	12.39	22.68	-19.20	CP	0.1	15.9	0.3	0.3	0.3	0.0730577	0.00474875	0	0	0	0	0	0	0	0	0
1	2	12.39	22.68	-19.20	13.11	22.79	-19.19	CP	0.7	16.6	0.3	0.3	0.3	0.594986	0.0386741	0	0	0	0	0	0	0	0	0
1	2	13.11	22.79	-19.19	13.75	22.97	-19.17	CP	0.7	17.3	0.3	0.3	0.3	0.543289	0.0353138	0	0	0	0	0	0	0	0	0
1	2	13.75	22.97	-19.17	14.31	23.08	-19.16	CP	0.6	17.9	0.3	0.3	0.3	0.466229	0.0303049	0	0	0	0	0	0	0	0	0
1	2	14.31	23.08	-19.16	14.40	23.28	-20.26	CP	1.1	19.0	0.3	0.3	0.3	1.00452	0.0717381	0	0	0	0	0	0	0	0	0
1	2	14.40	23.28	-20.26	14.74	23.21	-20.27	CP	0.3	19.3	0.3	0.6	0.4	0.512571	0.0543408	0	0	0	0	0	0	0	0	0
1	2	14.74	23.21	-20.27	15.01	23.23	-20.27	CP	0.3	19.6	0.6	0.7	0.6	0.536262	0.0819156	0	0	0	0	0	0	0	0	0
