Tree	Order	Start X	Start Y	Start Z	End X	End Y	End Z	Point Type	Length(µm)	Length To Beginning 	Start Diameter(µm)	End Diameter(µm)	Avg Diameter(µm)	Surface Area(µm²)	Volume(µm³)	Spines	None Spine	Thin Spine	Stubby Spine	Mushroom Spine	Filopodia Spine	Branched Spine	Detached Spine	Other Spine
1	1	-7.30	-3.90	-1.83	-7.70	-4.04	-0.87	CP	1.0	1.0	5.7	6.1	5.9	19.6669	28.4565	0	0	0	0	0	0	0	0	0
1	1	-7.70	-4.04	-0.87	-8.59	-4.74	-0.90	CP	1.1	2.2	6.1	6.3	6.2	22.1144	33.9809	0	0	0	0	0	0	0	0	0
1	1	-8.59	-4.74	-0.90	-9.68	-5.51	-0.96	CP	1.3	3.5	6.3	6.3	6.3	26.4400	41.6430	0	0	0	0	0	0	0	0	0
1	1	-9.68	-5.51	-0.96	-10.49	-5.88	-0.01	CP	1.3	4.8	6.3	6.8	6.6	27.4477	44.1686	0	0	0	0	0	0	0	0	0
1	1	-10.49	-5.88	-0.01	-11.27	-5.97	-0.01	CP	0.8	5.6	6.8	6.8	6.8	16.8722	28.8515	0	0	0	0	0	0	0	0	0
1	1	-11.27	-5.97	-0.01	-12.11	-6.01	-0.02	CP	0.8	6.4	6.8	6.3	6.6	18.1969	28.6134	0	0	0	0	0	0	0	0	0
1	1	-12.11	-6.01	-0.02	-13.08	-6.01	-0.02	CP	1.0	7.4	6.3	5.8	6.1	19.1019	28.0857	0	0	0	0	0	0	0	0	0
1	1	-13.08	-6.01	-0.02	-13.97	-6.10	0.94	CP	1.3	8.7	5.8	5.3	5.5	23.3548	31.7132	0	0	0	0	0	0	0	0	0
1	1	-13.97	-6.10	0.94	-14.71	-6.21	0.94	CP	0.7	9.5	5.3	5.2	5.2	12.2900	15.9806	0	0	0	0	0	0	0	0	0
1	1	-14.71	-6.21	0.94	-15.18	-6.34	0.92	BP	0.5	10.0	5.2	5.2	5.2	7.91172	10.2061	0	0	0	0	0	0	0	0	0
1	2	-15.18	-6.34	0.92	-15.20	-6.32	0.94	CP	0.0	10.0	5.2	4.9	5.1	1.75588	0.695315	0	0	0	0	0	0	0	0	0
1	2	-15.20	-6.32	0.94	-16.01	-6.57	0.92	CP	0.8	10.8	4.9	4.7	4.8	13.0012	15.6034	0	0	0	0	0	0	0	0	0
1	2	-16.01	-6.57	0.92	-17.02	-6.84	0.90	CP	1.0	11.9	4.7	4.4	4.6	15.1932	17.1960	0	0	0	0	0	0	0	0	0
1	2	-17.02	-6.84	0.90	-18.14	-7.24	0.87	CP	1.2	13.1	4.4	4.1	4.3	16.0852	17.0431	0	0	0	0	0	0	0	0	0
1	2	-18.14	-7.24	0.87	-18.85	-7.63	1.81	BP	1.2	14.3	4.1	3.9	4.0	15.7517	15.8309	0	0	0	0	0	0	0	0	0
1	3	-18.85	-7.63	1.81	-19.66	-7.46	0.86	CP	1.3	15.6	3.9	3.0	3.5	14.6577	11.9554	0	0	0	0	0	0	0	0	0
1	3	-19.66	-7.46	0.86	-20.16	-7.31	-0.12	CP	1.1	16.7	3.0	2.4	2.7	9.72710	6.35920	0	0	0	0	0	0	0	0	0
1	3	-20.16	-7.31	-0.12	-20.61	-7.19	-0.10	CP	0.5	17.2	2.4	2.0	2.2	3.50585	1.77689	0	0	0	0	0	0	0	0	0
1	3	-20.61	-7.19	-0.10	-21.16	-7.07	-0.10	CP	0.6	17.7	2.0	1.7	1.8	3.38296	1.50065	0	0	0	0	0	0	0	0	0
1	3	-21.16	-7.07	-0.10	-21.84	-6.82	-1.06	CP	1.2	18.9	1.7	1.7	1.7	6.34773	2.66605	0	0	0	0	0	0	0	0	0
1	3	-21.84	-6.82	-1.06	-22.28	-6.79	-1.06	CP	0.4	19.4	1.7	1.6	1.6	2.27707	0.926180	0	0	0	0	0	0	0	0	0
1	3	-22.28	-6.79	-1.06	-22.74	-6.78	-2.04	CP	1.1	20.4	1.6	1.4	1.5	5.13456	1.92800	0	0	0	0	0	0	0	0	0
1	3	-22.74	-6.78	-2.04	-23.01	-7.19	-2.06	CP	0.5	20.9	1.4	1.7	1.5	2.47482	0.929264	0	0	0	0	0	0	0	0	0
1	3	-23.01	-7.19	-2.06	-23.54	-7.46	-2.08	CP	0.6	21.5	1.7	1.7	1.7	3.14112	1.31927	0	0	0	0	0	0	0	0	0
1	3	-23.54	-7.46	-2.08	-23.91	-7.58	-2.08	CP	0.4	21.9	1.7	1.8	1.7	2.16194	0.930679	0	0	0	0	0	0	0	0	0
1	3	-23.91	-7.58	-2.08	-24.45	-7.62	-2.08	CP	0.5	22.5	1.8	2.0	1.9	3.23721	1.51190	0	0	0	0	0	0	0	0	0
1	3	-24.45	-7.62	-2.08	-24.70	-7.63	-2.08	CP	0.3	22.7	2.0	2.1	2.0	1.66988	0.814146	0	0	0	0	0	0	0	0	0
1	3	-24.70	-7.63	-2.08	-25.27	-7.75	-2.10	CP	0.6	23.3	2.1	2.1	2.1	3.86349	2.03799	0	0	0	0	0	0	0	0	0
1	3	-25.27	-7.75	-2.10	-25.52	-7.78	-3.06	CP	1.0	24.3	2.1	2.2	2.2	6.79605	3.68855	0	0	0	0	0	0	0	0	0
1	3	-25.52	-7.78	-3.06	-25.80	-7.90	-3.08	CP	0.3	24.6	2.2	2.3	2.3	2.17959	1.23013	0	0	0	0	0	0	0	0	0
1	3	-25.80	-7.90	-3.08	-26.23	-8.04	-3.08	CP	0.5	25.0	2.3	2.1	2.2	3.18680	1.71998	0	0	0	0	0	0	0	0	0
1	3	-26.23	-8.04	-3.08	-26.58	-8.14	-3.10	CP	0.4	25.4	2.1	1.8	2.0	2.41686	1.11305	0	0	0	0	0	0	0	0	0
1	3	-26.58	-8.14	-3.10	-27.20	-8.40	-3.10	CP	0.7	26.1	1.8	1.7	1.7	3.71500	1.60914	0	0	0	0	0	0	0	0	0
1	3	-27.20	-8.40	-3.10	-27.58	-8.54	-4.08	CP	1.1	27.1	1.7	1.3	1.5	5.01386	1.84505	0	0	0	0	0	0	0	0	0
1	3	-27.58	-8.54	-4.08	-27.98	-8.76	-4.10	CP	0.5	27.6	1.3	1.3	1.3	1.88056	0.615882	0	0	0	0	0	0	0	0	0
1	3	-27.98	-8.76	-4.10	-28.62	-8.65	-4.10	CP	0.6	28.3	1.3	1.3	1.3	2.67254	0.875256	0	0	0	0	0	0	0	0	0
1	3	-28.62	-8.65	-4.10	-29.78	-8.35	-4.08	CP	1.2	29.5	1.3	1.3	1.3	4.93172	1.61514	0	0	0	0	0	0	0	0	0
1	3	-29.78	-8.35	-4.08	-30.07	-8.14	-4.08	CP	0.4	29.8	1.3	1.5	1.4	1.61277	0.547922	0	0	0	0	0	0	0	0	0
1	3	-30.07	-8.14	-4.08	-30.34	-7.99	-4.06	CP	0.3	30.1	1.5	1.7	1.6	1.64081	0.615546	0	0	0	0	0	0	0	0	0
1	3	-30.34	-7.99	-4.06	-30.75	-7.91	-4.06	CP	0.4	30.5	1.7	1.8	1.8	2.34416	1.02252	0	0	0	0	0	0	0	0	0
1	3	-30.75	-7.91	-4.06	-31.23	-7.97	-5.05	CP	1.1	31.6	1.8	1.8	1.8	6.33473	2.89814	0	0	0	0	0	0	0	0	0
1	3	-31.23	-7.97	-5.05	-31.62	-8.00	-5.05	CP	0.4	32.0	1.8	1.7	1.8	2.20796	0.979051	0	0	0	0	0	0	0	0	0
1	3	-31.62	-8.00	-5.05	-32.14	-7.86	-5.04	CP	0.5	32.6	1.7	1.7	1.7	2.91240	1.25152	0	0	0	0	0	0	0	0	0
1	3	-32.14	-7.86	-5.04	-32.55	-7.74	-5.04	CP	0.4	33.0	1.7	1.7	1.7	2.28155	0.969659	0	0	0	0	0	0	0	0	0
1	3	-32.55	-7.74	-5.04	-32.88	-7.54	-5.03	CP	0.4	33.4	1.7	1.9	1.8	2.21649	0.966695	0	0	0	0	0	0	0	0	0
1	3	-32.88	-7.54	-5.03	-33.17	-7.37	-5.02	CP	0.3	33.7	1.9	2.1	2.0	2.17141	1.02594	0	0	0	0	0	0	0	0	0
1	3	-33.17	-7.37	-5.02	-33.39	-7.29	-5.02	CP	0.2	34.0	2.1	2.1	2.1	1.54265	0.803134	0	0	0	0	0	0	0	0	0
1	3	-33.39	-7.29	-5.02	-33.77	-7.19	-5.01	CP	0.4	34.3	2.1	2.1	2.1	2.60554	1.37442	0	0	0	0	0	0	0	0	0
1	3	-33.77	-7.19	-5.01	-34.23	-7.22	-5.01	CP	0.5	34.8	2.1	1.8	2.0	2.98496	1.39357	0	0	0	0	0	0	0	0	0
1	3	-34.23	-7.22	-5.01	-34.72	-7.14	-5.98	CP	1.1	35.9	1.8	1.7	1.7	5.95353	2.57785	0	0	0	0	0	0	0	0	0
1	3	-34.72	-7.14	-5.98	-35.07	-7.18	-5.99	CP	0.4	36.2	1.7	1.5	1.6	1.79381	0.691566	0	0	0	0	0	0	0	0	0
1	3	-35.07	-7.18	-5.99	-35.25	-7.28	-5.99	CP	0.2	36.5	1.5	1.4	1.5	0.960975	0.349517	0	0	0	0	0	0	0	0	0
1	3	-35.25	-7.28	-5.99	-35.57	-7.39	-6.00	CP	0.3	36.8	1.4	1.4	1.4	1.53145	0.551324	0	0	0	0	0	0	0	0	0
1	3	-35.57	-7.39	-6.00	-36.01	-7.38	-6.97	CP	1.1	37.9	1.4	1.3	1.4	4.53367	1.52694	0	0	0	0	0	0	0	0	0
1	3	-36.01	-7.38	-6.97	-36.37	-7.56	-6.98	CP	0.4	38.3	1.3	1.3	1.3	1.59372	0.502022	0	0	0	0	0	0	0	0	0
1	3	-36.37	-7.56	-6.98	-36.57	-7.59	-6.98	CP	0.2	38.5	1.3	1.3	1.3	0.835009	0.266439	0	0	0	0	0	0	0	0	0
1	3	-36.57	-7.59	-6.98	-37.10	-7.49	-6.98	CP	0.5	39.0	1.3	1.3	1.3	2.25358	0.749315	0	0	0	0	0	0	0	0	0
1	3	-37.10	-7.49	-6.98	-37.52	-7.45	-6.98	CP	0.4	39.4	1.3	1.4	1.4	1.83282	0.626704	0	0	0	0	0	0	0	0	0
1	3	-37.52	-7.45	-6.98	-37.52	-7.43	-6.98	CP	0.0	39.4	1.4	1.4	1.4	0.0892211	0.0316735	0	0	0	0	0	0	0	0	0
1	3	-37.52	-7.43	-6.98	-37.84	-7.47	-6.98	CP	0.3	39.8	1.4	1.6	1.5	1.60011	0.582104	0	0	0	0	0	0	0	0	0
1	3	-37.84	-7.47	-6.98	-38.10	-7.45	-6.98	CP	0.3	40.0	1.6	1.7	1.7	1.37585	0.561105	0	0	0	0	0	0	0	0	0
1	3	-38.10	-7.45	-6.98	-38.43	-7.46	-7.96	CP	1.0	41.1	1.7	2.0	1.8	6.03229	2.75507	0	0	0	0	0	0	0	0	0
1	3	-38.43	-7.46	-7.96	-38.57	-7.45	-7.96	CP	0.1	41.2	2.0	2.1	2.0	0.963750	0.456621	0	0	0	0	0	0	0	0	0
1	3	-38.57	-7.45	-7.96	-38.90	-7.42	-7.95	CP	0.3	41.5	2.1	2.2	2.1	2.24395	1.18700	0	0	0	0	0	0	0	0	0
1	3	-38.90	-7.42	-7.95	-39.20	-7.45	-7.96	CP	0.3	41.8	2.2	2.3	2.3	2.23012	1.21605	0	0	0	0	0	0	0	0	0
1	3	-39.20	-7.45	-7.96	-39.39	-7.49	-7.96	CP	0.2	42.0	2.3	2.4	2.4	1.47826	0.867492	0	0	0	0	0	0	0	0	0
1	3	-39.39	-7.49	-7.96	-39.73	-7.55	-7.96	CP	0.3	42.4	2.4	2.2	2.3	2.61981	1.46040	0	0	0	0	0	0	0	0	0
1	3	-39.73	-7.55	-7.96	-39.70	-7.52	-7.96	CP	0.0	42.4	2.2	2.2	2.2	0.295891	0.164220	0	0	0	0	0	0	0	0	0
1	3	-39.70	-7.52	-7.96	-40.06	-7.63	-7.97	CP	0.4	42.8	2.2	2.1	2.2	2.58709	1.37390	0	0	0	0	0	0	0	0	0
1	3	-40.06	-7.63	-7.97	-40.39	-7.78	-7.98	CP	0.4	43.2	2.1	2.0	2.0	2.34759	1.19126	0	0	0	0	0	0	0	0	0
1	3	-40.39	-7.78	-7.98	-40.61	-7.83	-7.98	CP	0.2	43.4	2.0	2.0	2.0	1.41756	0.708779	0	0	0	0	0	0	0	0	0
1	3	-40.61	-7.83	-7.98	-41.34	-7.92	-8.96	CP	1.2	44.6	2.0	1.9	1.9	7.42405	3.56795	0	0	0	0	0	0	0	0	0
1	3	-41.34	-7.92	-8.96	-41.74	-7.99	-8.97	CP	0.4	45.0	1.9	1.7	1.8	2.30686	1.01696	0	0	0	0	0	0	0	0	0
1	3	-41.74	-7.99	-8.97	-42.07	-7.97	-8.97	CP	0.3	45.3	1.7	1.7	1.7	1.76248	0.741680	0	0	0	0	0	0	0	0	0
1	3	-42.07	-7.97	-8.97	-42.50	-7.97	-8.97	CP	0.4	45.8	1.7	1.4	1.5	2.16130	0.812738	0	0	0	0	0	0	0	0	0
1	3	-42.50	-7.97	-8.97	-43.23	-7.85	-8.96	CP	0.7	46.5	1.4	1.3	1.4	3.18900	1.08379	0	0	0	0	0	0	0	0	0
1	3	-43.23	-7.85	-8.96	-43.83	-7.70	-8.96	CP	0.6	47.1	1.3	1.3	1.3	2.50644	0.808326	0	0	0	0	0	0	0	0	0
1	3	-43.83	-7.70	-8.96	-44.41	-7.52	-8.95	CP	0.6	47.7	1.3	1.3	1.3	2.46146	0.793820	0	0	0	0	0	0	0	0	0
1	3	-44.41	-7.52	-8.95	-44.82	-7.50	-8.95	CP	0.4	48.1	1.3	1.2	1.3	1.63435	0.515973	0	0	0	0	0	0	0	0	0
1	3	-44.82	-7.50	-8.95	-45.25	-7.65	-8.96	CP	0.5	48.6	1.2	1.2	1.2	1.77452	0.550101	0	0	0	0	0	0	0	0	0
1	3	-45.25	-7.65	-8.96	-45.53	-7.76	-8.97	CP	0.3	48.9	1.2	1.0	1.1	1.13537	0.310641	0	0	0	0	0	0	0	0	0
1	3	-45.53	-7.76	-8.97	-45.89	-7.77	-8.97	CP	0.4	49.3	1.0	0.9	1.0	1.12422	0.266740	0	0	0	0	0	0	0	0	0
